|     numerator|denominator|                 ratio|            filename|     z|                                              title|losangle|avperp|
|          char|       char|                  char|                char|double|                                               char|    long|  long|
|              |           |                      |                    |      |                                               null|        |      |
|          null|       null|                  null|                null|  null|                                               null|    null|  null|
          OI_63     CII_158          OI_63/CII_158        OI63_CII158sm    1.0                 [O I] 63 $\mu$m / [C II] 158 $\mu$m       75      3 
  OI_63+CII_158         FIR      OI_63+CII_158/FIR    OI63+CII158_FIRsm    1.0   ([O I] 63 $\mu$m + [C II] 158 $\mu$m) / I$_{FIR}$       75      3 
 OI_145+CII_158         FIR     OI_145+CII_158/FIR   OI145+CII158_FIRsm    1.0  ([O I] 145 $\mu$m + [C II] 158 $\mu$m) / I$_{FIR}$       75      3 
         OI_145       OI_63           OI_145/OI_63         OI145_OI63sm    1.0                  [O I] 145 $\mu$m / [O I] 63 $\mu$m       75      3 
         CI_370      CI_609          CI_370/CI_609        CI370_CI609sm    1.0                 [C I] 370 $\mu$m / [C I] 609 $\mu$m       75      3 
        CII_158      CI_609         CII_158/CI_609       CII158_CI609sm    1.0                [C II] 158 $\mu$m / [C I] 609 $\mu$m       75      3 
        CII_158      OI_145         CII_158/OI_145       CII158_OI145sm    1.0                [C II] 158 $\mu$m / [O I] 145 $\mu$m       75      3 
        CII_158         FIR            CII_158/FIR         CII158_FIRsm    1.0                       [C II] 158 $\mu$m / I$_{FIR}$       75      3 
        CII_158       CO_10          CII_158/CO_10        CII158_CO10sm    1.0                       [C II] 158 $\mu$m / CO(J=1-0)       75      3 
        CII_158       CO_21          CII_158/CO_21        CII158_CO21sm    1.0                       [C II] 158 $\mu$m / CO(J=2-1)       75      3 
        CII_158       CO_32          CII_158/CO_32        CII158_CO32sm    1.0                       [C II] 158 $\mu$m / CO(J=3-2)       75      3 
        CII_158       CO_65          CII_158/CO_65        CII158_CO65sm    1.0                       [C II] 158 $\mu$m / CO(J=6-5)       75      3 
        CII_158     13CO_10        CII_158/13CO_10      CII158_13CO10sm    1.0                [C II] 158 $\mu$m / $^{13}$CO(J=1-0)       75      3 
          CO_21       CO_10            CO_21/CO_10          CO21_CO10sm    1.0                               CO(J=2-1) / CO(J=1-0)       75      3 
          CO_32       CO_10            CO_32/CO_10          CO32_CO10sm    1.0                               CO(J=3-2) / CO(J=1-0)       75      3 
          CO_32       CO_21            CO_32/CO_21          CO32_CO21sm    1.0                               CO(J=3-2) / CO(J=2-1)       75      3 
         CI_609       CO_43           CI_609/CO_43         CI609_CO43sm    1.0                        [C I] 609 $\mu$m / CO(J=4-3)       75      3 
         CI_609       CO_21           CI_609/CO_21         CI609_CO21sm    1.0                        [C I] 609 $\mu$m / CO(J=2-1)       75      3 
         CI_609       CO_10           CI_609/CO_10         CI609_CO10sm    1.0                        [C I] 609 $\mu$m / CO(J=1-0)       75      3 
         CI_609     13CO_10         CI_609/13CO_10       CI609_13CO10sm    1.0                 [C I] 609 $\mu$m / $^{13}$CO(J=1-0)       75      3 
         CI_609     13CO_21         CI_609/13CO_21       CI609_13CO21sm    1.0                 [C I] 609 $\mu$m / $^{13}$CO(J=2-1)       75      3 
         CI_609     13CO_32         CI_609/13CO_32       CI609_13CO32sm    1.0                 [C I] 609 $\mu$m / $^{13}$CO(J=3-2)       75      3 
          CO_43       CO_21            CO_43/CO_21          CO43_CO21sm    1.0                               CO(J=4-3) / CO(J=2-1)       75      3 
          CO_65       CO_10            CO_65/CO_10          CO65_CO10sm    1.0                               CO(J=6-5) / CO(J=1-0)       75      3 
