# %ECSV 1.0
# ---
# datatype:
# - {name: dE, unit: K, datatype: float64}
# - {name: A, unit: 1 / s, datatype: float64}
# - {name: Ju, unit: '', datatype: int64}
# - {name: Jl, unit: '', datatype: int64}
# - {name: freq, unit: GHz, datatype: float64}
# - {name: vu, unit: '', datatype: int64}
# - {name: vl, unit: '', datatype: int64}
# - {name: lambda, unit: micron, datatype: float64}
# - {name: Tu, unit: K, datatype: float64}
# - {name: gu, datatype: float64}
# - {name: Line, datatype: string}
# - {name: Transition, datatype: string}
# - {name: species, datatype: string}
# meta: !!omap
# - comments: ['40        # Number of transitions', 'K         # Unit energy transitions', 'n     nu     nl                E(K)          Aij(s-1)             quant:
#       Ju    Jl   info:    Description', '---data-----------------------------------------------------------------------------------------------------',
#     '---end------------------------------------------------------', Utilisation des donnees de LAMDA - ER 2011, Frequencies from CDMS
#       - 18-01-06 - file=c030502.cat]
# - keywords: {}
# schema: astropy-2.0
dE A Ju Jl freq vu vl lambda Tu gu Line Transition species
5.269 6.266e-08 1 0 109.782 0 0 2730.7979268003864 5.269 3.0 C18Ov0-0J1-0 "v0-0 J1-0" C18O
10.537 6.011e-07 2 1 219.56 0 0 1365.4238385862636 15.806 5.0 C18Ov0-0J2-1 "v0-0 J2-1" C18O
15.805 2.172e-06 3 2 329.331 0 0 910.3074353765664 31.611 7.0 C18Ov0-0J3-2 "v0-0 J3-2" C18O
21.073 5.33e-06 4 3 439.089 0 0 682.7601192468952 52.684 9.0 C18Ov0-0J4-3 "v0-0 J4-3" C18O
26.34 1.062e-05 5 4 548.831 0 0 546.2382008304925 79.024 11.0 C18Ov0-0J5-4 "v0-0 J5-4" C18O
31.605 1.86e-05 6 5 658.553 0 0 455.2290521795512 110.629 13.0 C18Ov0-0J6-5 "v0-0 J6-5" C18O
36.87 2.978e-05 7 6 768.252 0 0 390.22671987837333 147.499 15.0 C18Ov0-0J7-6 "v0-0 J7-6" C18O
42.133 4.468e-05 8 7 877.922 0 0 341.47960524966913 189.632 17.0 C18Ov0-0J8-7 "v0-0 J8-7" C18O
47.395 6.38e-05 9 8 987.56 0 0 303.5688545506096 237.027 19.0 C18Ov0-0J9-8 "v0-0 J9-8" C18O
52.656 8.762e-05 10 9 1097.163 0 0 273.2433175380504 289.683 21.0 C18Ov0-0J10-9 "v0-0 J10-9" C18O
57.913 0.0001166 11 10 1206.725 0 0 248.43477842921965 347.596 23.0 C18Ov0-0J11-10 "v0-0 J11-10" C18O
63.169 0.0001512 12 11 1316.244 0 0 227.76358942566884 410.765 25.0 C18Ov0-0J12-11 "v0-0 J12-11" C18O
68.424 0.0001918 13 12 1425.715 0 0 210.27516579400515 479.189 27.0 C18Ov0-0J13-12 "v0-0 J13-12" C18O
73.674 0.0002388 14 13 1535.134 0 0 195.28748500130934 552.863 29.0 C18Ov0-0J14-13 "v0-0 J14-13" C18O
