@Levels of the SO molecule
#489          # Number of levels
#K            # Energy Unit
#3            # Number of quantum number
#v            # Vibrational quantum number
#N            # Rotationnal moment
#J            # Total angular momentum - J = N + S
# n      g       E(K)                  OP   v    N    J     E(cm-1)
#---data read without format ----------#------ READ WITH FORMAT -----------
    1      1.0           0.000000      n    0    1    0     0.000000
    2      3.0           1.439847      n    0    0    1     1.000744
    3      5.0           4.460091      n    0    1    2     3.099918
    4      7.0           9.225734      n    0    2    3     6.412206
    5      3.0          15.182006      n    0    1    1    10.552023
    6      3.0          15.808011      n    0    2    1    10.987117
    7      9.0          15.857263      n    0    3    4    11.021350
    8      5.0          19.313865      n    0    2    2    13.423808
    9      5.0          21.051288      n    0    3    2    14.631378
   10     11.0          24.428969      n    0    4    5    16.978984
   11      7.0          25.511555      n    0    3    3    17.731418
   12      7.0          28.680732      n    0    4    3    19.934107
   13      9.0          33.774959      n    0    4    4    23.474772
   14     13.0          34.984876      n    0    5    6    24.315706
   15      9.0          38.575621      n    0    5    4    26.811399
   16     11.0          44.103921      n    0    5    5    30.653760
   17     15.0          47.551392      n    0    6    7    33.049872
   18     11.0          50.661351      n    0    6    5    35.211402
   19     13.0          56.498246      n    0    6    6    39.268247
   20     17.0          62.144828      n    0    7    8    43.192818
   21     13.0          64.893510      n    0    7    6    45.103248
   22     15.0          70.957700      n    0    7    7    49.318071
   23     19.0          78.775575      n    0    8    9    54.751766
   24     15.0          81.245217      n    0    8    7    56.468253
   25     17.0          87.482008      n    0    8    8    60.803040
   26     21.0          97.450436      n    0    9   10    67.731445
   27     17.0          99.699617      n    0    9    8    69.294703
   28     19.0         106.070859      n    0    9    9    73.722938
   29     23.0         118.173962      n    0   10   11    82.135016
   30     19.0         120.245693      n    0   10    9    83.574941
   31     21.0         126.723900      n    0   10   10    88.077521
   32     25.0         140.949230      n    0   11   12    97.964620
   33     21.0         142.875937      n    0   11   10    99.303749
   34     23.0         149.440741      n    0   11   11   103.866516
   35     27.0         165.778332      n    0   12   13   115.221710
   36     23.0         167.585021      n    0   12   11   116.477422
   37     25.0         174.220953      n    0   12   12   121.089625
   38     29.0         192.662668      n    0   13   14   133.907259
   39     25.0         194.369004      n    0   13   12   135.093222
   40     27.0         201.064066      n    0   13   13   139.746523
   41     31.0         221.603142      n    0   14   15   154.021896
   42     27.0         223.224859      n    0   14   13   155.149045
   43     29.0         229.969573      n    0   14   14   159.836856
   44     33.0         252.600298      n    0   15   16   175.565998
   45     29.0         254.150170      n    0   15   14   176.643213
   46     31.0         260.936926      n    0   15   15   181.360244
   47     35.0         285.654398      n    0   16   17   198.539748
   48     31.0         287.142936      n    0   16   15   199.574334
   49     33.0         293.965539      n    0   16   16   204.316280
   50     37.0         320.765491      n    0   17   18   222.943179
   51     33.0         322.201445      n    0   17   16   223.941217
   52     35.0         329.054788      n    0   17   17   228.704529
   53     39.0         357.933454      n    0   18   19   248.776207
   54     35.0         359.324182      n    0   18   17   249.742811
   55     37.0         366.204008      n    0   18   18   254.524529
   56     41.0         397.158019      n    0   19   20   276.038645
   57     37.0         398.509770      n    0   19   18   276.978159
   58     39.0         405.412495      n    0   19   19   281.775792
   59     43.0         438.438805      n    0   20   21   304.730228
   60     39.0         439.756926      n    0   20   19   305.646367
   61     41.0         446.679507      n    0   20   20   310.457802
   62     45.0         481.775326      n    0   21   22   334.850618
   63     41.0         483.064431      n    0   21   20   335.746590
   64     43.0         490.004262      n    0   21   21   340.570015
   65     47.0         527.167009      n    0   22   23   366.399417
   66     43.0         528.431104      n    0   22   21   367.278007
   67     45.0         535.385941      n    0   22   22   372.111860
   68     49.0         574.613201      n    0   23   24   399.376172
   69     45.0         575.855790      n    0   23   22   400.239814
   70     47.0         582.823682      n    0   23   23   405.082741
   71     51.0         624.113180      n    0   24   25   433.780380
   72     47.0         625.337342      n    0   24   23   434.631215
   73     49.0         632.316587      n    0   24   24   439.482033
   74     53.0         675.666158      n    0   25   26   469.611493
   75     49.0         676.874615      n    0   25   24   470.451413
   76     51.0         683.863718      n    0   25   25   475.309083
   77     55.0         729.271285      n    0   26   27   506.868922
   78     51.0         730.466454      n    0   26   25   507.699606
   79     53.0         737.464097      n    0   26   26   512.563212
   80     57.0         784.927655      n    0   27   28   545.552036
   81     53.0         786.111694      n    0   27   26   546.374984
   82     55.0         793.116709      n    0   27   27   551.243714
   83     59.0         842.634310      n    0   28   29   585.660169
   84     55.0         843.809151      n    0   28   27   586.476725
   85     57.0         850.820497      n    0   28   28   591.349855
   86     61.0         902.390237      n    0   29   30   627.192618
   87     57.0         903.557620      n    0   29   28   628.003990
   88     59.0         910.574368      n    0   29   29   632.880874
   89     63.0         964.194376      n    0   30   31   670.148646
   90     59.0         965.355870      n    0   30   29   670.955925
   91     61.0         972.377186      n    0   30   30   675.835984
   92     65.0        1028.045618      n    0   31   32   714.527481
   93     61.0        1029.202647      n    0   31   30   715.331656
   94     63.0        1036.227781      n    0   31   31   720.214369
   95     67.0        1093.942807      n    0   32   33   760.328321
   96     63.0        1095.096663      n    0   32   31   761.130291
   97     65.0        1102.124938      n    0   32   32   766.015186
   98     69.0        1161.884742      n    0   33   34   807.550330
   99     65.0        1163.036605      n    0   33   32   808.350915
  100     67.0        1170.067406      n    0   33   33   813.237566
  101     71.0        1231.870176      n    0   34   35   856.192642
  102     67.0        1233.021125      n    0   34   33   856.992592
  103     69.0        1240.053897      n    0   34   34   861.880613
  104     73.0        1303.897820      n    0   35   36   906.254361
  105     69.0        1305.048843      n    0   35   34   907.054362
  106     71.0        1312.083078      n    0   35   35   911.943400
  107     75.0        1377.966339      n    0   36   37   957.734560
  108     71.0        1379.118347      n    0   36   35   958.535245
  109     73.0        1386.153582      n    0   36   36   963.424978
  110     77.0        1454.074357      n    0   37   38  1010.632281
  111     73.0        1455.228187      n    0   37   36  1011.434233
  112     75.0        1462.264000      n    0   37   37  1016.324368
  113     79.0        1532.220457      n    0   38   39  1064.946540
  114     75.0        1533.376881      n    0   38   37  1065.750295
  115     77.0        1540.412886      n    0   38   38  1070.640563
  116     81.0        1612.403175      n    0   39   40  1120.676319
  117     77.0        1613.562912      n    0   39   38  1121.482377
  118     79.0        1620.598751      n    0   39   39  1126.372530
  119      1.0        1637.265584      n    1    1    0  1137.956559
  120      3.0        1638.702920      n    1    0    1  1138.955557
  121      5.0        1641.711696      n    1    1    2  1141.046761
  122      7.0        1646.451343      n    1    2    3  1144.340981
  123      3.0        1652.537273      n    1    1    1  1148.570914
  124      9.0        1653.039949      n    1    3    4  1148.920291
  125      3.0        1653.149283      n    1    2    1  1148.996282
  126      5.0        1656.636121      n    1    2    2  1151.419756
  127      5.0        1658.338006      n    1    3    2  1152.602625
  128     11.0        1661.551193      n    1    4    5  1154.835902
  129      7.0        1662.784295      n    1    3    3  1155.692951
  130      7.0        1665.894410      n    1    4    3  1157.854589
  131      9.0        1670.981677      n    1    4    4  1161.390417
  132     13.0        1672.029117      n    1    5    6  1162.118424
  133      9.0        1675.700175      n    1    5    4  1164.669937
  134     11.0        1681.228113      n    1    5    5  1168.512046
  135     15.0        1684.500301      n    1    6    7  1170.786331
  136     11.0        1687.681307      n    1    6    5  1172.997241
  137     13.0        1693.523403      n    1    6    6  1177.057701
  138     83.0        1694.621010      n    0   40   41  1177.820576
  139     79.0        1695.784726      n    0   40   39  1178.629399
  140     17.0        1698.981229      n    1    7    8  1180.851080
  141     13.0        1701.793376      n    1    7    6  1182.805620
  142     81.0        1702.820072      n    0   40   40  1183.519209
  143     15.0        1707.867318      n    1    7    7  1187.027221
  144     19.0        1715.482439      n    1    8    9  1192.319995
  145     15.0        1718.009333      n    1    8    7  1194.076274
  146     17.0        1724.259582      n    1    8    8  1198.420415
  147     21.0        1734.010845      n    1    9   10  1205.197882
  148     17.0        1736.312143      n    1    9    8  1206.797364
  149     19.0        1742.699882      n    1    9    9  1211.237065
  150     23.0        1754.571083      n    1   10   11  1219.487963
  151     19.0        1756.690648      n    1   10    9  1220.961134
  152     21.0        1763.187868      n    1   10   10  1225.476928
  153     25.0        1777.166297      n    1   11   12  1235.192423
  154     85.0        1778.872418      n    0   41   42  1236.378236
  155     21.0        1779.137224      n    1   11   10  1236.562286
  156     81.0        1780.040729      n    0   41   40  1237.190253
  157     23.0        1785.723145      n    1   11   11  1241.139730
  158     83.0        1787.075280      n    0   41   41  1242.079511
  159     27.0        1801.798628      n    1   12   13  1252.312750
  160     23.0        1803.646459      n    1   12   11  1253.597057
  161     25.0        1810.305288      n    1   12   12  1258.225175
  162     29.0        1828.469511      n    1   13   14  1270.849942
  163     25.0        1830.214347      n    1   13   12  1272.062664
  164     27.0        1836.933825      n    1   13   13  1276.732935
  165     31.0        1857.179885      n    1   14   15  1290.804651
  166     27.0        1858.837809      n    1   14   13  1291.956966
  167     87.0        1865.155812      n    0   42   43  1296.348198
  168     29.0        1865.608249      n    1   14   14  1296.662657
  169     83.0        1866.329296      n    0   42   41  1297.163810
  170     85.0        1873.362775      n    0   42   42  1302.052323
  171     33.0        1887.930312      n    1   15   16  1312.177268
  172     29.0        1889.514393      n    1   15   14  1313.278259
  173     31.0        1896.328011      n    1   15   15  1318.013961
  174     35.0        1920.721076      n    1   16   17  1334.967990
  175     31.0        1922.242067      n    1   16   15  1336.025132
  176     33.0        1929.092527      n    1   16   16  1340.786440
  177     89.0        1953.469569      n    0   43   44  1357.729332
  178     85.0        1954.648761      n    0   43   42  1358.548912
  179     37.0        1955.552240      n    1   17   18  1359.176861
  180     33.0        1957.019094      n    1   17   16  1360.196376
  181     87.0        1961.680910      n    0   43   43  1363.436500
  182     35.0        1963.901171      n    1   17   17  1364.979659
  183     39.0        1992.423691      n    1   18   19  1384.803803
  184     35.0        1993.843941      n    1   18   17  1385.790926
  185     37.0        2000.753277      n    1   18   18  1390.593155
  186     41.0        2031.335175      n    1   19   20  1411.848638
  187     37.0        2032.715216      n    1   19   18  1412.807815
  188     39.0        2039.648143      n    1   19   19  1417.626440
  189     91.0        2043.812017      n    0   44   45  1420.520478
  190     87.0        2044.997423      n    0   44   43  1421.344376
  191     89.0        2052.028005      n    0   44   44  1426.230875
  192     43.0        2072.286314      n    1   20   21  1440.311105
  193     39.0        2073.631622      n    1   20   19  1441.246141
  194     41.0        2080.585025      n    1   20   20  1446.078998
  195     45.0        2115.276633      n    1   21   22  1470.190873
  196     41.0        2116.591931      n    1   21   20  1471.105051
  197     43.0        2123.563142      n    1   21   21  1475.950285
  198     93.0        2136.181453      n    0   45   46  1484.720450
  199     89.0        2137.373541      n    0   45   44  1485.548993
  200     91.0        2144.402333      n    0   45   45  1490.434248
  201     47.0        2160.305561      n    1   22   23  1501.487545
  202     43.0        2161.594954      n    1   22   21  1502.383718
  203     45.0        2168.581674      n    1   22   22  1507.239731
  204     49.0        2207.372452      n    1   23   24  1534.200672
  205     45.0        2208.639527      n    1   23   22  1535.081333
  206     47.0        2215.639758      n    1   23   23  1539.946737
  207     95.0        2230.576126      n    0   46   47  1550.328033
  208     91.0        2231.775339      n    0   46   45  1551.161528
  209     93.0        2238.802137      n    0   46   46  1556.045397
  210     51.0        2256.476588      n    1   24   25  1568.329755
  211     47.0        2257.724498      n    1   24   23  1569.197096
  212     49.0        2264.736495      n    1   24   24  1574.070678
  213     53.0        2307.617181      n    1   25   26  1603.874247
  214     49.0        2308.848715      n    1   25   24  1604.730206
  215     51.0        2315.870949      n    1   25   25  1609.610903
  216     97.0        2326.994248      n    0   47   48  1617.341983
  217     93.0        2328.201000      n    0   47   46  1618.180718
  218     95.0        2335.225616      n    0   47   47  1623.063070
  219     55.0        2360.793387      n    1   26   27  1640.833561
  220     51.0        2362.011020      n    1   26   25  1641.679858
  221     53.0        2369.042140      n    1   26   26  1646.566731
  222     57.0        2416.004302      n    1   27   28  1679.207068
  223     53.0        2417.210243      n    1   27   26  1680.045239
  224     55.0        2424.249051      n    1   27   27  1684.937456
  225     99.0        2425.433988      n    0   48   49  1685.761028
  226     95.0        2426.648672      n    0   48   47  1686.605276
  227     97.0        2433.670926      n    0   48   48  1691.485987
  228     59.0        2473.248966      n    1   28   29  1718.994102
  229     55.0        2474.445197      n    1   28   27  1719.825524
  230     57.0        2481.490630      n    1   28   28  1724.722345
  231    101.0        2525.893480      n    0   49   50  1755.583871
  232     97.0        2527.116463      n    0   49   48  1756.433887
  233     61.0        2532.526374      n    1   29   30  1760.193963
  234     57.0        2533.714674      n    1   29   28  1761.019873
  235     99.0        2534.136191      n    0   49   49  1761.312842
  236     59.0        2540.765777      n    1   29   29  1765.920635
  237     63.0        2593.835462      n    1   30   31  1802.805913
  238     59.0        2595.017442      n    1   30   29  1803.627430
  239     61.0        2602.073360      n    1   30   30  1808.531539
  240    103.0        2628.370812      n    0   50   51  1826.809183
  241     99.0        2629.602441      n    0   50   49  1827.665208
  242    101.0        2636.619489      n    0   50   50  1832.542301
  243     65.0        2657.175123      n    1   31   32  1846.829182
  244     61.0        2658.352240      n    1   31   30  1847.647319
  245     63.0        2665.412206      n    1   31   31  1852.554241
  246     67.0        2722.544204      n    1   32   33  1892.262968
  247     63.0        2723.717781      n    1   32   31  1893.078645
  248     65.0        2730.781101      n    1   32   32  1897.987898
  249    105.0        2732.864036      n    0   51   52  1899.435610
  250    101.0        2734.104640      n    0   51   50  1900.297873
  251    103.0        2741.118864      n    0   51   51  1905.173003
  252     69.0        2789.941504      n    1   33   34  1939.106437
  253     65.0        2791.112751      n    1   33   32  1939.920494
  254     67.0        2798.178794      n    1   33   33  1944.831640
  255    107.0        2839.371160      n    0   52   53  1973.461768
  256    103.0        2840.621050      n    0   52   51  1974.330485
  257    105.0        2847.632318      n    0   52   52  1979.203560
  258     71.0        2859.365775      n    1   34   35  1987.358721
  259     67.0        2860.535795      n    1   34   33  1988.171926
  260     69.0        2867.603994      n    1   34   34  1993.084570
  261     73.0        2930.815729      n    1   35   36  2037.018926
  262     69.0        2931.985537      n    1   35   34  2037.831983
  263     71.0        2939.055370      n    1   35   35  2042.745763
  264    109.0        2947.890157      n    0   53   54  2048.886247
  265    105.0        2949.149627      n    0   53   52  2049.761623
  266    107.0        2956.157813      n    0   53   53  2054.632556
  267     75.0        3004.290035      n    1   36   37  2088.086125
  268     71.0        3005.460560      n    1   36   35  2088.899681
  269     73.0        3012.531553      n    1   36   36  2093.814267
  270    111.0        3058.418954      n    0   54   55  2125.707608
  271    107.0        3059.688287      n    0   54   53  2126.589838
  272    109.0        3066.693273      n    0   54   54  2131.458547
  273     77.0        3079.787312      n    1   37   38  2140.559360
  274     73.0        3080.959414      n    1   37   36  2141.374012
  275     75.0        3088.031134      n    1   37   37  2146.289103
  276     79.0        3157.306144      n    1   38   39  2194.437646
  277     75.0        3158.480615      n    1   38   37  2195.253944
  278     77.0        3165.552665      n    1   38   38  2200.169265
  279    113.0        3170.955445      n    0   55   56  2203.924385
  280    109.0        3172.234903      n    0   55   54  2204.813653
  281    111.0        3179.236580      n    0   55   55  2209.680062
  282     81.0        3236.845069      n    1   39   40  2249.719967
  283     77.0        3238.022643      n    1   39   38  2250.538422
  284     79.0        3245.094659      n    1   39   39  2255.453719
  285      1.0        3256.252904      n    2    1    0  2263.209088
  286      3.0        3257.687589      n    2    0    1  2264.206244
  287      5.0        3260.684838      n    2    1    2  2266.289436
  288      7.0        3265.398579      n    2    2    3  2269.565650
  289      3.0        3271.616646      n    2    1    1  2273.887423
  290      9.0        3271.944463      n    2    3    4  2274.115267
  291      3.0        3272.214840      n    2    2    1  2274.303189
  292      5.0        3275.682566      n    2    2    2  2276.713379
  293      5.0        3277.349232      n    2    3    2  2277.871770
  294     11.0        3280.395514      n    2    4    5  2279.989042
  295      7.0        3281.781349      n    2    3    3  2280.952245
  296      7.0        3284.832757      n    2    4    3  2283.073080
  297    115.0        3285.497478      n    0   56   57  2283.535084
  298    111.0        3286.787317      n    0   56   55  2284.431567
  299      9.0        3289.912875      n    2    4    4  2286.603939
  300     13.0        3290.795769      n    2    5    6  2287.217581
  301    113.0        3293.785582      n    0   56   56  2289.295605
  302      9.0        3294.549528      n    2    5    4  2289.826574
  303     11.0        3300.076991      n    2    5    5  2293.668353
  304     15.0        3303.171965      n    2    6    7  2295.819468
  305     11.0        3306.426209      n    2    6    5  2298.081281
  306     13.0        3312.273498      n    2    6    6  2302.145350
  307     17.0        3317.540762      n    2    7    8  2305.806282
  308     83.0        3318.402585      n    1   40   41  2306.405279
  309     79.0        3319.583943      n    1   40   39  2307.226364
  310     13.0        3320.418375      n    2    7    6  2307.806323
  311     15.0        3326.502165      n    2    7    7  2312.034769
  312     81.0        3326.655589      n    1   40   40  2312.141404
  313     19.0        3333.912842      n    2    8    9  2317.185447
  314     15.0        3336.498814      n    2    8    7  2318.982788
