 TRANSITION QUAERUPOLAIRES EANS L'ETAT X EE H2
   PROBABILITES E'EMISSION
  VU  VL  JU        S              Q              O
    1857
   0   0   2   0.294929E-10   0.000000E+00   0.000000E+00
   0   0   3   0.477160E-09   0.000000E+00   0.000000E+00
   0   0   4   0.276066E-08   0.000000E+00   0.000000E+00
   0   0   5   0.985741E-08   0.000000E+00   0.000000E+00
   0   0   6   0.264890E-07   0.000000E+00   0.000000E+00
   0   0   7   0.589233E-07   0.000000E+00   0.000000E+00
   0   0   8   0.114443E-06   0.000000E+00   0.000000E+00
   0   0   9   0.200584E-06   0.000000E+00   0.000000E+00
   0   0  10   0.324289E-06   0.000000E+00   0.000000E+00
   0   0  11   0.491100E-06   0.000000E+00   0.000000E+00
   0   0  12   0.704503E-06   0.000000E+00   0.000000E+00
   0   0  13   0.965488E-06   0.000000E+00   0.000000E+00
   0   0  14   0.127236E-05   0.000000E+00   0.000000E+00
   0   0  15   0.162100E-05   0.000000E+00   0.000000E+00
   0   0  16   0.200400E-05   0.000000E+00   0.000000E+00
   0   0  17   0.241300E-05   0.000000E+00   0.000000E+00
   0   0  18   0.283800E-05   0.000000E+00   0.000000E+00
   0   0  19   0.326700E-05   0.000000E+00   0.000000E+00
   0   0  20   0.368900E-05   0.000000E+00   0.000000E+00
   0   0  21   0.409100E-05   0.000000E+00   0.000000E+00
   0   0  22   0.446200E-05   0.000000E+00   0.000000E+00
   0   0  23   0.479100E-05   0.000000E+00   0.000000E+00
   0   0  24   0.506900E-05   0.000000E+00   0.000000E+00
   0   0  25   0.528700E-05   0.000000E+00   0.000000E+00
   0   0  26   0.543800E-05   0.000000E+00   0.000000E+00
   0   0  27   0.551700E-05   0.000000E+00   0.000000E+00
   0   0  28   0.551900E-05   0.000000E+00   0.000000E+00
   0   0  29   0.544300E-05   0.000000E+00   0.000000E+00
   0   0  30   0.528600E-05   0.000000E+00   0.000000E+00
   1   0   0   0.000000E+00   0.000000E+00   0.856006E-06
   1   0   1   0.000000E+00   0.430133E-06   0.423585E-06
   1   0   2   0.253400E-06   0.303916E-06   0.290532E-06
   1   0   3   0.348101E-06   0.279037E-06   0.208897E-06
   1   0   4   0.399408E-06   0.265887E-06   0.150274E-06
   1   0   5   0.422053E-06   0.255333E-06   0.106499E-06
   1   0   6   0.420294E-06   0.245168E-06   0.738336E-07
   1   0   7   0.396838E-06   0.234671E-06   0.498590E-07
   1   0   8   0.355083E-06   0.223633E-06   0.326868E-07
   1   0   9   0.299352E-06   0.211986E-06   0.207321E-07
   1   0  10   0.235154E-06   0.199800E-06   0.126729E-07
   1   0  11   0.168598E-06   0.187166E-06   0.742883E-08
   1   0  12   0.106014E-06   0.174192E-06   0.414875E-08
   1   0  13   0.535670E-07   0.161005E-06   0.218773E-08
   1   0  14   0.168523E-07   0.147752E-06   0.107585E-08
   1   0  15   0.497100E-09   0.134600E-06   0.484600E-09
   1   0  16   0.801800E-08   0.121600E-06   0.194500E-09
   1   0  17   0.417000E-07   0.108900E-06   0.666200E-10
   1   0  18   0.102600E-06   0.965800E-07   0.180500E-10
   1   0  19   0.190400E-06   0.848100E-07   0.332800E-11
   1   0  20   0.304000E-06   0.736600E-07   0.289300E-12
   1   0  21   0.441100E-06   0.631800E-07   0.277800E-14
   1   0  22   0.598600E-06   0.534500E-07   0.000000E+00
   1   0  23   0.772700E-06   0.445100E-07   0.000000E+00
   1   0  24   0.959000E-06   0.364100E-07   0.000000E+00
   1   0  25   0.115200E-05   0.291800E-07   0.000000E+00
   1   0  26   0.134700E-05   0.228200E-07   0.000000E+00
   1   0  27   0.153800E-05   0.173300E-07   0.000000E+00
   1   0  28   0.171700E-05   0.127000E-07   0.000000E+00
   1   0  29   0.187800E-05   0.889800E-08   0.000000E+00
   1   0  30   0.201200E-05   0.587500E-08   0.000000E+00
   1   1   2   0.279263E-10   0.000000E+00   0.000000E+00
   1   1   3   0.450680E-09   0.000000E+00   0.000000E+00
   1   1   4   0.259781E-08   0.000000E+00   0.000000E+00
