#30        # Number of transitions
#K         # Unit energy transitions
#  n      nu     nl                E(K)          Aij(s-1)             quant:  Ju     Jl info:   Description
#---data-----------------------------------------------------------------------------------------------------
    1      2      1          5.02500000     5.3704920E-08             quant:   1;    0; info:    104.704 GHz
    2      3      2         10.05100000     5.1572120E-07             quant:   2;    1; info:    209.429 GHz
    3      4      3         15.07500000     1.8643280E-06             quant:   3;    2; info:    314.112 GHz
    4      5      4         20.10000000     4.5828200E-06             quant:   4;    3; info:    418.817 GHz
    5      6      5         25.12300000     9.1520620E-06             quant:   5;    4; info:    523.479 GHz
    6      7      6         30.14600000     1.6055510E-05             quant:   6;    5; info:    628.141 GHz
    7      8      7         35.16700000     2.5771510E-05             quant:   7;    6; info:    732.762 GHz
    8      9      8         40.18800000     3.8784430E-05             quant:   8;    7; info:    837.383 GHz
    9     10      9         45.20700000     5.5569070E-05             quant:   9;    8; info:    941.962 GHz
   10     11     10         50.22500000     7.6606870E-05             quant:  10;    9; info:   1046.520 GHz
   11     12     11         55.24000000     1.0236540E-04             quant:  11;   10; info:   1151.016 GHz
   12     13     12         60.25400000     1.3332940E-04             quant:  12;   11; info:   1255.491 GHz
   13     14     13         65.26600000     1.6996820E-04             quant:  13;   12; info:   1359.924 GHz
   14     15     14         70.27500000     2.1274520E-04             quant:  14;   13; info:   1464.295 GHz
   15     16     15         75.28200000     2.6213810E-04             quant:  15;   14; info:   1568.624 GHz
   16     17     16         80.28700000     3.1861700E-04             quant:  16;   15; info:   1672.912 GHz
   17     18     17         85.28800000     3.8262370E-04             quant:  17;   16; info:   1777.116 GHz
   18     19     18         90.28700000     4.5464620E-04             quant:  18;   17; info:   1881.278 GHz
   19     20     19         95.28300000     5.3513380E-04             quant:  19;   18; info:   1985.378 GHz
   20     21     20        100.27500000     6.2452710E-04             quant:  20;   19; info:   2089.394 GHz
   21     22     21        105.26300000     7.2327790E-04             quant:  21;   20; info:   2193.328 GHz
   22     23     22        110.24900000     8.3188120E-04             quant:  22;   21; info:   2297.219 GHz
   23     24     23        115.23000000     9.5072260E-04             quant:  23;   22; info:   2401.006 GHz
   24     25     24        120.20700000     1.0802680E-03             quant:  24;   23; info:   2504.710 GHz
   25     26     25        125.18000000     1.2209610E-03             quant:  25;   24; info:   2608.331 GHz
   26     27     26        130.14900000     1.3732420E-03             quant:  26;   25; info:   2711.868 GHz
   27     28     27        135.11400000     1.5375500E-03             quant:  27;   26; info:   2815.322 GHz
   28     29     28        140.07300000     1.7142480E-03             quant:  28;   27; info:   2918.651 GHz
   29     30     29        145.02700000     1.9037930E-03             quant:  29;   28; info:   3021.876 GHz
   30     31     30        149.97700000     2.1066510E-03             quant:  30;   29; info:   3125.017 GHz
#---end----------------------------------------------------------------------------------------------
# Donnees du 28 septembre 2000 avec le moment dipol de CO
