#40        # Number of transitions
#K         # Unit energy transitions
#   n     nu     nl                E(K)         Aein(s-1)             quant:  Ju    Jl   info:        E(GHz)
#---data-----------------------------------------------------------------------------------------------------
    1      2      1          5.28900000     6.2940000E-08             quant:   1;    0;  info:   110.201 GHz
    2      3      2         10.57700000     6.2940000E-07             quant:   2;    1;  info:   220.399 GHz
    3      4      3         15.86600000     2.1810000E-06             quant:   3;    2;  info:   330.588 GHz
    4      5      4         21.15300000     5.3530000E-06             quant:   4;    3;  info:   440.765 GHz
    5      6      5         26.44000000     1.0670000E-05             quant:   5;    4;  info:   550.926 GHz
    6      7      6         31.72600000     1.8680000E-05             quant:   6;    5;  info:   661.067 GHz
    7      8      7         37.01100000     2.9910000E-05             quant:   7;    6;  info:   771.184 GHz
    8      9      8         42.29400000     4.4870000E-05             quant:   8;    7;  info:   881.273 GHz
    9     10      9         47.57600000     6.4060000E-05             quant:   9;    8;  info:   991.329 GHz
   10     11     10         52.85600000     8.7970000E-05             quant:  10;    9;  info:  1101.350 GHz
   11     12     11         58.13500000     1.1700000E-04             quant:  11;   10;  info:  1211.330 GHz
   12     13     12         63.41000000     1.5170000E-04             quant:  12;   11;  info:  1321.265 GHz
   13     14     13         68.68400000     1.9240000E-04             quant:  13;   12;  info:  1431.153 GHz
   14     15     14         73.95600000     2.3950000E-04             quant:  14;   13;  info:  1540.988 GHz
   15     16     15         79.22400000     2.9340000E-04             quant:  15;   14;  info:  1650.767 GHz
   16     17     16         84.48900000     3.5430000E-04             quant:  16;   15;  info:  1760.486 GHz
   17     18     17         89.75200000     4.2250000E-04             quant:  17;   16;  info:  1870.140 GHz
   18     19     18         95.01100000     4.9840000E-04             quant:  18;   17;  info:  1979.726 GHz
   19     20     19        100.26800000     5.8210000E-04             quant:  19;   18;  info:  2089.240 GHz
   20     21     20        105.51900000     6.7370000E-04             quant:  20;   19;  info:  2198.677 GHz
   21     22     21        110.76800000     7.7350000E-04             quant:  21;   20;  info:  2308.034 GHz
   22     23     22        116.01100000     8.8150000E-04             quant:  22;   21;  info:  2417.307 GHz
   23     24     23        121.25200000     9.9780000E-04             quant:  23;   22;  info:  2526.491 GHz
   24     25     24        126.48700000     1.1220000E-03             quant:  24;   23;  info:  2635.583 GHz
   25     26     25        131.71900000     1.2550000E-03             quant:  25;   24;  info:  2744.579 GHz
   26     27     26        136.94400000     1.3960000E-03             quant:  26;   25;  info:  2853.474 GHz
   27     28     27        142.16600000     1.5450000E-03             quant:  27;   26;  info:  2962.265 GHz
   28     29     28        147.38100000     1.7020000E-03             quant:  28;   27;  info:  3070.948 GHz
   29     30     29        152.59200000     1.8660000E-03             quant:  29;   28;  info:  3179.518 GHz
   30     31     30        157.79700000     2.0380000E-03             quant:  30;   29;  info:  3287.972 GHz
   31     32     31        162.99700000     2.2170000E-03             quant:  31;   30;  info:  3396.306 GHz
   32     33     32        168.19000000     2.4030000E-03             quant:  32;   31;  info:  3504.516 GHz
   33     34     33        173.37700000     2.5940000E-03             quant:  33;   32;  info:  3612.598 GHz
   34     35     34        178.55800000     2.7920000E-03             quant:  34;   33;  info:  3720.547 GHz
   35     36     35        183.73200000     2.9950000E-03             quant:  35;   34;  info:  3828.360 GHz
   36     37     36        188.90000000     3.2030000E-03             quant:  36;   35;  info:  3936.033 GHz
   37     38     37        194.06000000     3.4140000E-03             quant:  37;   36;  info:  4043.562 GHz
   38     39     38        199.21400000     3.6300000E-03             quant:  38;   37;  info:  4150.943 GHz
   39     40     39        204.36000000     3.8480000E-03             quant:  39;   38;  info:  4258.172 GHz
   40     41     40        209.49900000     4.0680000E-03             quant:  40;   39;  info:  4365.246 GHz
#---end-------------------------------------------------------
#****__***__***__***********__*************__*********************
#format(I5,2(2x,I3),2x,F11.4,2x,1p,E13.7,2x,A45)
# new A coefficients from LAMDA - ER_2011
# Frequencies GHz from CDMS - 18-01-06 - file=c029501.cat
