#40        # Number of transitions
#K         # Unit energy transitions
#   n     nu     nl                E(K)          Aij(s-1)             quant: Ju    Jl   info:    Description
#---data-----------------------------------------------------------------------------------------------------
    1      2      1          5.26900000     6.2660000E-08             quant:   1;    0; info:    109.782 GHz
    2      3      2         10.53700000     6.0110000E-07             quant:   2;    1; info:    219.560 GHz
    3      4      3         15.80500000     2.1720000E-06             quant:   3;    2; info:    329.331 GHz
    4      5      4         21.07300000     5.3300000E-06             quant:   4;    3; info:    439.089 GHz
    5      6      5         26.34000000     1.0620000E-05             quant:   5;    4; info:    548.831 GHz
    6      7      6         31.60500000     1.8600000E-05             quant:   6;    5; info:    658.553 GHz
    7      8      7         36.87000000     2.9780000E-05             quant:   7;    6; info:    768.252 GHz
    8      9      8         42.13300000     4.4680000E-05             quant:   8;    7; info:    877.922 GHz
    9     10      9         47.39500000     6.3800000E-05             quant:   9;    8; info:    987.560 GHz
   10     11     10         52.65600000     8.7620000E-05             quant:  10;    9; info:   1097.163 GHz
   11     12     11         57.91300000     1.1660000E-04             quant:  11;   10; info:   1206.725 GHz
   12     13     12         63.16900000     1.5120000E-04             quant:  12;   11; info:   1316.244 GHz
   13     14     13         68.42400000     1.9180000E-04             quant:  13;   12; info:   1425.715 GHz
   14     15     14         73.67400000     2.3880000E-04             quant:  14;   13; info:   1535.134 GHz
   15     16     15         78.92300000     2.9250000E-04             quant:  15;   14; info:   1644.497 GHz
   16     17     16         84.16900000     3.5330000E-04             quant:  16;   15; info:   1753.800 GHz
   17     18     17         89.41100000     4.2140000E-04             quant:  17;   16; info:   1863.039 GHz
   18     19     18         94.65100000     4.9720000E-04             quant:  18;   17; info:   1972.211 GHz
   19     20     19         99.88600000     5.8080000E-04             quant:  19;   18; info:   2081.310 GHz
   20     21     20        105.11900000     6.7250000E-04             quant:  20;   19; info:   2190.334 GHz
   21     22     21        110.34700000     7.7230000E-04             quant:  21;   20; info:   2299.279 GHz
   22     23     22        115.57200000     8.8030000E-04             quant:  22;   21; info:   2408.139 GHz
   23     24     23        120.79200000     9.9690000E-04             quant:  23;   22; info:   2516.912 GHz
   24     25     24        126.00800000     1.1220000E-03             quant:  24;   23; info:   2625.593 GHz
   25     26     25        131.21900000     1.2550000E-03             quant:  25;   24; info:   2734.179 GHz
   26     27     26        136.42600000     1.3960000E-03             quant:  26;   25; info:   2842.665 GHz
   27     28     27        141.62700000     1.5460000E-03             quant:  27;   26; info:   2951.047 GHz
   28     29     28        146.82400000     1.7040000E-03             quant:  28;   27; info:   3059.323 GHz
   29     30     29        152.01400000     1.8690000E-03             quant:  29;   28; info:   3167.486 GHz
   30     31     30        157.20000000     2.0420000E-03             quant:  30;   29; info:   3275.535 GHz
   31     32     31        162.38000000     2.2220000E-03             quant:  31;   30; info:   3383.463 GHz
   32     33     32        167.55400000     2.4090000E-03             quant:  32;   31; info:   3491.269 GHz
   33     34     33        172.72200000     2.6030000E-03             quant:  33;   32; info:   3598.947 GHz
   34     35     34        177.88300000     2.8020000E-03             quant:  34;   33; info:   3706.495 GHz
   35     36     35        183.03800000     3.0080000E-03             quant:  35;   34; info:   3813.907 GHz
   36     37     36        188.18700000     3.2190000E-03             quant:  36;   35; info:   3921.180 GHz
   37     38     37        193.32800000     3.4330000E-03             quant:  37;   36; info:   4028.310 GHz
   38     39     38        198.46300000     3.6520000E-03             quant:  38;   37; info:   4135.293 GHz
   39     40     39        203.59000000     3.8750000E-03             quant:  39;   38; info:   4242.125 GHz
   40     41     40        208.70900000     4.1000000E-03             quant:  40;   39; info:   4348.803 GHz
#---end------------------------------------------------------
# Utilisation des donnees de LAMDA - ER 2011
# Frequencies from CDMS - 18-01-06 - file=c030502.cat
