#221       # Number of transitions
#K         # Unit energy transitions
#   n     nu     nl                E(K)        Aij(s-1)                 quant:    Ju   Ka_u   Kc_u     Jd   Ka_d   Kc_d          Description
#---data-------------------------------------------------------------------------------------------------------------------------------------------
    1      4      2           0.8803309      3.8434e-07                 quant:     1;     1;     0;     1;     0;     1;         info:     18343.14300 MHz
    2      9      7           1.0360306      5.7145e-07                 quant:     2;     2;     0;     2;     1;     1;         info:     21587.40100 MHz
    3     18     14           1.2998423      9.7450e-07                 quant:     3;     3;     0;     3;     2;     1;         info:     27084.35200 MHz
    4     27     25           1.6970548      1.7804e-06                 quant:     4;     4;     0;     4;     3;     1;         info:     35360.92900 MHz
    5     36     34           2.0223598      3.7027e-06                 quant:     5;     4;     1;     5;     3;     2;         info:     42139.19440 MHz
    6     25     23           2.0267779      3.3832e-06                 quant:     4;     3;     1;     4;     2;     2;         info:     42231.25200 MHz
    7     14     12           2.1166928      3.1965e-06                 quant:     3;     2;     1;     3;     1;     2;         info:     44104.77690 MHz
    8     53     49           2.1416549      4.4659e-06                 quant:     6;     5;     1;     6;     4;     2;         info:     44624.90390 MHz
    9     40     36           2.2386063      3.2631e-06                 quant:     5;     5;     0;     5;     4;     1;         info:     46645.04540 MHz
   10      7      5           2.2439126      2.6806e-06                 quant:     2;     1;     1;     2;     0;     2;         info:     46755.61000 MHz
   11     70     66           2.4122264      6.0295e-06                 quant:     7;     6;     1;     7;     5;     2;         info:     50262.70520 MHz
   12      3      1           2.4879922      5.7836e-06                 quant:     1;     1;     1;     0;     0;     0;         info:     51841.41130 MHz
   13      8      6           2.6409131      3.4584e-06                 quant:     2;     2;     1;     2;     1;     2;         info:     55027.76810 MHz
   14     89     85           2.8503635      8.8902e-06                 quant:     8;     7;     1;     8;     6;     2;         info:     59392.01250 MHz
   15     15     13           2.8583247      5.1500e-06                 quant:     3;     3;     1;     3;     2;     2;         info:     59557.89810 MHz
   16     55     53           2.9090042      5.7499e-06                 quant:     6;     6;     0;     6;     5;     1;         info:     60613.88880 MHz
   17     85     83           3.0991553      1.2253e-05                 quant:     8;     6;     2;     8;     5;     3;         info:     64575.99860 MHz
   18     26     24           3.1518842      6.8887e-06                 quant:     4;     4;     1;     4;     3;     2;         info:     65674.69140 MHz
   19     66     64           3.2602445      1.2765e-05                 quant:     7;     5;     2;     7;     4;     3;         info:     67932.55830 MHz
   20     49     45           3.4802015      1.3555e-05                 quant:     6;     4;     2;     6;     3;     3;         info:     72515.72380 MHz
   21     39     35           3.5213546      9.0813e-06                 quant:     5;     5;     1;     5;     4;     2;         info:     73373.21550 MHz
   22     72     70           3.6690094      9.5612e-06                 quant:     7;     7;     0;     7;     6;     1;         info:     76449.84770 MHz
   23     34     32           3.7002138      1.4014e-05                 quant:     5;     3;     2;     5;     2;     3;         info:     77100.04110 MHz
   24     23     19           3.8740968      1.3278e-05                 quant:     4;     2;     2;     4;     1;     3;         info:     80723.17990 MHz
   25      5      3           3.9398638      1.8856e-05                 quant:     2;     0;     2;     1;     1;     1;         info:     82093.54370 MHz
   26     54     52           3.9633748      1.1943e-05                 quant:     6;     6;     1;     6;     5;     2;         info:     82583.43400 MHz
   27     12     10           3.9817446      9.9193e-06                 quant:     3;     1;     2;     3;     0;     3;         info:     82966.20000 MHz
   28     13     11           4.0662826      1.0423e-05                 quant:     3;     2;     2;     3;     1;     3;         info:     84727.68800 MHz
   29      6      2           4.0956159      2.3220e-05                 quant:     2;     1;     2;     1;     0;     1;         info:     85338.89400 MHz
   30     24     20           4.1108552      1.5214e-05                 quant:     4;     3;     2;     4;     2;     3;         info:     85656.43100 MHz
   31     35     33           4.1962282      1.8510e-05                 quant:     5;     4;     2;     5;     3;     3;         info:     87435.31810 MHz
   32     52     46           4.3358267      2.1633e-05                 quant:     6;     5;     2;     6;     4;     3;         info:     90344.08190 MHz
   33     95     89           4.4703710      1.4871e-05                 quant:     8;     8;     0;     8;     7;     1;         info:     93147.53410 MHz
   34     71     69           4.4710657      1.5632e-05                 quant:     7;     7;     1;     7;     6;     2;         info:     93162.00820 MHz
   35     69     65           4.5407494      2.5241e-05                 quant:     7;     6;     2;     7;     5;     3;         info:     94613.98470 MHz
   36     88     84           4.8184714      2.9785e-05                 quant:     8;     7;     2;     8;     6;     3;         info:    100400.77800 MHz
   37     94     88           5.0345991      2.0281e-05                 quant:     8;     8;     1;     8;     7;     2;         info:    104904.15500 MHz
   38     83     79           5.1940640      4.0124e-05                 quant:     8;     5;     3;     8;     4;     4;         info:    108226.86820 MHz
   39     64     60           5.3986987      4.0952e-05                 quant:     7;     4;     3;     7;     3;     4;         info:    112490.76900 MHz
   40     20     18           5.4916888      3.5430e-07                 quant:     4;     2;     3;     3;     3;     0;         info:    114428.37110 MHz
   41     45     43           5.5302517      3.8968e-05                 quant:     6;     3;     3;     6;     2;     4;         info:    115231.89090 MHz
   42     32     28           5.6041069      3.3373e-05                 quant:     5;     2;     3;     5;     1;     4;         info:    116770.78580 MHz
   43     10      6           5.6223634      6.9770e-05                 quant:     3;     0;     3;     2;     1;     2;         info:    117151.19100 MHz
   44     46     44           5.6370486      4.0943e-05                 quant:     6;     4;     3;     6;     3;     4;         info:    117457.18190 MHz
   45     19     16           5.6405756      2.2309e-05                 quant:     4;     1;     3;     4;     0;     4;         info:    117530.67120 MHz
   46     11      5           5.6413215      7.0671e-05                 quant:     3;     1;     3;     2;     0;     2;         info:    117546.21400 MHz
   47     33     29           5.6415220      3.3957e-05                 quant:     5;     3;     3;     5;     2;     4;         info:    117550.39200 MHz
   48     65     61           5.6461643      4.5884e-05                 quant:     7;     5;     3;     7;     4;     4;         info:    117647.12210 MHz
   49     20     17           5.6502292      2.2414e-05                 quant:     4;     2;     3;     4;     1;     4;         info:    117731.82100 MHz
   50     84     80           5.6814412      5.0090e-05                 quant:     8;     6;     3;     8;     5;     4;         info:    118382.17400 MHz
   51      8      4           5.8561962      6.7875e-05                 quant:     2;     2;     1;     1;     1;     0;         info:    122023.48200 MHz
   52     12      8           6.9631942      6.7678e-05                 quant:     3;     1;     2;     2;     2;     1;         info:    145089.60550 MHz
   53     79     75           7.1580991      8.5477e-05                 quant:     8;     4;     4;     8;     3;     5;         info:    149150.77040 MHz
   54     80     76           7.1997858      8.6832e-05                 quant:     8;     5;     4;     8;     4;     5;         info:    150019.38190 MHz
   55     60     57           7.2124608      7.6637e-05                 quant:     7;     3;     4;     7;     2;     5;         info:    150283.48490 MHz
   56      9      3           7.2198069      5.3574e-05                 quant:     2;     2;     0;     1;     1;     1;         info:    150436.55470 MHz
   57     61     56           7.2269131      7.7062e-05                 quant:     7;     4;     4;     7;     3;     5;         info:    150584.62280 MHz
   58     16     11           7.2382413      1.6363e-04                 quant:     4;     0;     4;     3;     1;     3;         info:    150820.66500 MHz
   59     17     10           7.2397407      1.6377e-04                 quant:     4;     1;     4;     3;     0;     3;         info:    150851.90800 MHz
   60     43     38           7.2446735      6.2435e-05                 quant:     6;     2;     4;     6;     1;     5;         info:    150954.69120 MHz
   61     44     37           7.2487280      6.2524e-05                 quant:     6;     3;     4;     6;     2;     5;         info:    151039.17300 MHz
   62     28     21           7.2633515      3.9573e-05                 quant:     5;     1;     4;     5;     0;     5;         info:    151343.87790 MHz
   63     29     22           7.2641783      3.9589e-05                 quant:     5;     2;     4;     5;     1;     5;         info:    151361.10530 MHz
   64     13      7           7.4636921      1.1152e-04                 quant:     3;     2;     2;     2;     1;     1;         info:    155518.30320 MHz
   65     40     32           7.9611801      2.9052e-06                 quant:     5;     5;     0;     5;     2;     3;         info:    165884.28400 MHz
   66     44     36           7.9934389      6.4015e-07                 quant:     6;     3;     4;     5;     4;     1;         info:    166556.44990 MHz
   67     33     27           8.5136291      2.8240e-06                 quant:     5;     3;     3;     4;     4;     0;         info:    177395.46800 MHz
   68     55     45           8.5308603      4.5616e-06                 quant:     6;     6;     0;     6;     3;     3;         info:    177754.50800 MHz
   69     19     13           8.8125330      2.0742e-04                 quant:     4;     1;     3;     3;     2;     2;         info:    183623.62200 MHz
   70     75     68           8.8438550      1.2726e-04                 quant:     8;     3;     5;     8;     2;     6;         info:    184276.26800 MHz
   71     76     67           8.8453771      1.2731e-04                 quant:     8;     4;     5;     8;     3;     6;         info:    184307.98400 MHz
   72     21     17           8.8463361      3.1547e-04                 quant:     5;     0;     5;     4;     1;     4;         info:    184327.96600 MHz
   73     22     16           8.8464350      3.1549e-04                 quant:     5;     1;     5;     4;     0;     4;         info:    184330.02600 MHz
   74     57     47           8.8660209      1.0098e-04                 quant:     7;     2;     5;     7;     1;     6;         info:    184738.13000 MHz
   75     56     48           8.8663759      1.0099e-04                 quant:     7;     3;     5;     7;     2;     6;         info:    184745.52700 MHz
   76     38     31           8.8808778      6.1886e-05                 quant:     6;     1;     5;     6;     0;     6;         info:    185047.69800 MHz
   77     37     30           8.8809414      6.1883e-05                 quant:     6;     2;     5;     6;     1;     6;         info:    185049.02400 MHz
   78     20     12           8.9082244      2.1766e-04                 quant:     4;     2;     3;     3;     1;     2;         info:    185617.51000 MHz
   79     15      9           9.2859842      2.6863e-04                 quant:     3;     3;     1;     2;     2;     0;         info:    193488.75800 MHz
   80     72     64           9.3414775      5.8138e-06                 quant:     7;     7;     0;     7;     4;     3;         info:    194645.05100 MHz
   81     23     15           9.8283061      1.2417e-04                 quant:     4;     2;     2;     3;     3;     1;         info:    204788.92600 MHz
   82     76     66           9.8765810      7.4834e-07                 quant:     8;     4;     5;     7;     5;     2;         info:    205794.81360 MHz
   83     18      8          10.3797303      2.5579e-04                 quant:     3;     3;     0;     2;     2;     1;         info:    216278.75600 MHz
   84     95     83          10.4198898      6.3685e-06                 quant:     8;     8;     0;     8;     5;     3;         info:    217115.54520 MHz
   85     31     22          10.4538013      5.3965e-04                 quant:     6;     0;     6;     5;     1;     5;         info:    217822.14800 MHz
   86     30     21          10.4538013      5.3962e-04                 quant:     6;     1;     6;     5;     0;     5;         info:    217822.14800 MHz
   87     28     20          10.4594595      4.0258e-04                 quant:     5;     1;     4;     4;     2;     3;         info:    217940.04600 MHz
   88     92     81          10.4649660      1.9184e-04                 quant:     9;     3;     6;     9;     2;     7;         info:    218054.78300 MHz
   89     93     82          10.4650986      1.9185e-04                 quant:     9;     4;     6;     9;     3;     7;         info:    218057.54500 MHz
   90     29     19          10.4700375      4.0411e-04                 quant:     5;     2;     4;     4;     1;     3;         info:    218160.45590 MHz
   91     68     59          10.4838772      1.4941e-04                 quant:     8;     2;     6;     8;     1;     7;         info:    218448.82870 MHz
   92     67     58          10.4839065      1.4941e-04                 quant:     8;     3;     6;     8;     2;     7;         info:    218449.43900 MHz
   93     47     42          10.4975024      8.9324e-05                 quant:     7;     1;     6;     7;     0;     7;         info:    218732.73200 MHz
   94     48     41          10.4975024      8.9331e-05                 quant:     7;     2;     6;     7;     1;     7;         info:    218732.73200 MHz
   95     24     14          10.9023855      3.1146e-04                 quant:     4;     3;     2;     3;     2;     1;         info:    227169.13780 MHz
   96     70     60          11.0711696      5.6373e-06                 quant:     7;     6;     1;     7;     3;     4;         info:    230686.03240 MHz
   97     89     79          11.1435828      1.0012e-05                 quant:     8;     7;     1;     8;     4;     4;         info:    232194.87930 MHz
   98     61     53          11.3743053      4.0429e-06                 quant:     7;     4;     4;     6;     5;     1;         info:    237002.36350 MHz
   99     46     40          11.3918812      1.0390e-05                 quant:     6;     4;     3;     5;     5;     0;         info:    237368.58640 MHz
  100     14      6          11.7208000      5.9034e-05                 quant:     3;     2;     1;     2;     1;     2;         info:    244222.15050 MHz
  101     32     24          11.9527096      4.1584e-04                 quant:     5;     2;     3;     4;     3;     2;         info:    249054.36800 MHz
  102     42     30          12.0611723      8.5024e-04                 quant:     7;     0;     7;     6;     1;     6;         info:    251314.36700 MHz
  103     41     31          12.0611723      8.5028e-04                 quant:     7;     1;     7;     6;     0;     6;         info:    251314.36700 MHz
  104     38     29          12.0704992      6.7490e-04                 quant:     6;     1;     5;     5;     2;     4;         info:    251508.70850 MHz
  105     37     28          12.0713920      6.7507e-04                 quant:     6;     2;     5;     5;     1;     4;         info:    251527.31100 MHz
  106     81     73          12.1006012      2.0785e-04                 quant:     9;     2;     7;     9;     1;     8;         info:    252135.93210 MHz
  107     82     74          12.1006031      2.0786e-04                 quant:     9;     3;     7;     9;     2;     8;         info:    252135.97280 MHz
  108     59     51          12.1137465      1.2189e-04                 quant:     8;     1;     7;     8;     0;     8;         info:    252409.83690 MHz
  109     58     50          12.1137468      1.2189e-04                 quant:     8;     2;     7;     8;     1;     8;         info:    252409.84200 MHz
  110     33     23          12.2374620      4.7024e-04                 quant:     5;     3;     3;     4;     2;     2;         info:    254987.65220 MHz
  111     34     26          12.5010406      1.6094e-04                 quant:     5;     3;     2;     4;     4;     1;         info:    260479.74600 MHz
  112     15      5          12.5659294      4.2417e-05                 quant:     3;     3;     1;     2;     0;     2;         info:    261831.81140 MHz
  113     26     18          12.7544276      7.2686e-04                 quant:     4;     4;     1;     3;     3;     0;         info:    265759.48100 MHz
  114     27     15          13.5521386      7.3758e-04                 quant:     4;     4;     0;     3;     3;     1;         info:    282381.10320 MHz
  115     51     41          13.6684780      1.2611e-03                 quant:     8;     0;     8;     7;     1;     7;         info:    284805.22500 MHz
  116     50     42          13.6684780      1.2610e-03                 quant:     8;     1;     8;     7;     0;     7;         info:    284805.22500 MHz
  117     43     33          13.6736515      7.6245e-04                 quant:     6;     2;     4;     5;     3;     3;         info:    284913.02340 MHz
  118     47     37          13.6777302      1.0418e-03                 quant:     7;     1;     6;     6;     2;     5;         info:    284998.00900 MHz
  119     48     38          13.6777956      1.0419e-03                 quant:     7;     2;     6;     6;     1;     5;         info:    284999.37340 MHz
  120     44     32          13.7160116      7.7199e-04                 quant:     6;     3;     4;     5;     2;     3;         info:    285795.66600 MHz
  121     73     63          13.7297257      1.5963e-04                 quant:     9;     1;     8;     9;     0;     9;         info:    286081.42090 MHz
  122     74     62          13.7297257      1.5964e-04                 quant:     9;     2;     8;     9;     1;     9;         info:    286081.42120 MHz
  123     65     55          14.1114654      2.4106e-05                 quant:     7;     5;     3;     6;     6;     0;         info:    294035.59670 MHz
  124     35     25          14.4069123      6.9183e-04                 quant:     5;     4;     2;     4;     3;     1;         info:    300191.71830 MHz
  125     80     70          14.6641405      1.6065e-05                 quant:     8;     5;     4;     7;     6;     1;         info:    305551.49040 MHz
  126     25     13          14.7134086      2.3084e-04                 quant:     4;     3;     1;     3;     2;     2;         info:    306578.07360 MHz
  127     49     39          14.9665219      1.7031e-04                 quant:     6;     4;     2;     5;     5;     1;         info:    311852.10440 MHz
  128     45     35          15.0076749      6.6021e-04                 quant:     6;     3;     3;     5;     4;     2;         info:    312709.59620 MHz
  129     63     50          15.2757022      1.7867e-03                 quant:     9;     0;     9;     8;     1;     8;         info:    318294.38460 MHz
  130     62     51          15.2757022      1.7864e-03                 quant:     9;     1;     9;     8;     0;     8;         info:    318294.38460 MHz
  131     59     48          15.2847202      1.5183e-03                 quant:     8;     1;     7;     7;     2;     6;         info:    318482.28970 MHz
  132     58     47          15.2847245      1.5182e-03                 quant:     8;     2;     7;     7;     1;     6;         info:    318482.37880 MHz
  133     57     44          15.2950242      1.1920e-03                 quant:     7;     2;     5;     6;     3;     4;         info:    318696.99140 MHz
  134     56     43          15.2995004      1.1932e-03                 quant:     7;     3;     5;     6;     2;     4;         info:    318790.25920 MHz
  135     86     77          15.3454749      2.0248e-04                 quant:    10;     1;     9;    10;     0;    10;         info:    319748.21470 MHz
  136     87     78          15.3454749      2.0252e-04                 quant:    10;     2;     9;    10;     1;    10;         info:    319748.21470 MHz
  137     46     34          15.6528441      8.5787e-04                 quant:     6;     4;     3;     5;     3;     2;         info:    326152.75800 MHz
  138     26     12          16.1709625      1.1889e-04                 quant:     4;     4;     1;     3;     1;     2;         info:    336948.60620 MHz
  139     39     27          16.2312121      1.5990e-03                 quant:     5;     5;     1;     4;     4;     0;         info:    338204.00610 MHz
  140     84     72          16.6765727      4.1705e-05                 quant:     8;     6;     3;     7;     7;     0;         info:    347483.82710 MHz
  141     23     11          16.7529133      8.1294e-05                 quant:     4;     2;     2;     3;     1;     3;         info:    349074.50950 MHz
  142     40     26          16.7620074      1.6459e-03                 quant:     5;     5;     0;     4;     4;     1;         info:    349263.99870 MHz
  143     60     46          16.8704374      1.2378e-03                 quant:     7;     3;     4;     6;     4;     3;         info:    351523.31700 MHz
  144     77     62          16.8828320      2.4401e-03                 quant:    10;     0;    10;     9;     1;     9;         info:    351781.57800 MHz
  145     78     63          16.8828320      2.4406e-03                 quant:    10;     1;    10;     9;     0;     9;         info:    351781.57800 MHz
  146     73     58          16.8916813      2.1180e-03                 quant:     9;     1;     8;     8;     2;     7;         info:    351965.96900 MHz
  147     74     59          16.8916813      2.1176e-03                 quant:     9;     2;     8;     8;     1;     7;         info:    351965.96900 MHz
  148     68     56          16.9022191      1.7351e-03                 quant:     8;     2;     6;     7;     3;     5;         info:    352185.54150 MHz
  149     67     57          16.9026086      1.7355e-03                 quant:     8;     3;     6;     7;     2;     5;         info:    352193.65600 MHz
