#19        # Number of transitions
#K         # Unit energy transitions
#  n      nu     nl                E(K)          Aij(s-1)             quant: Ju     Jl  info:        Description
#---data----------------------------------------------------------------------------------------------------
    1      2      1         40.08023000     6.3636000E-03             quant:   1;    0; info:    835137.5040 MHz
    2      3      2         80.11277000     6.0982000E-02             quant:   2;    1; info:   1669281.2909 MHz
    3      4      3        120.05007000     2.1986000E-01             quant:   3;    2; info:   2501440.4523 MHz
    4      5      4        159.84483000     5.3826000E-01             quant:   4;    3; info:   3330629.6656 MHz
    5      6      5        199.45017000     1.0693000E+00             quant:   5;    4; info:   4155871.9545 MHz
    6      7      6        238.81973000     1.8640000E+00             quant:   6;    5; info:   4976201.3942 MHz
    7      8      7        277.90781000     2.9698000E+00             quant:   7;    6; info:   5790665.7535 MHz
    8      9      8        316.66949000     4.4307000E+00             quant:   8;    7; info:   6598329.0559 MHz
    9     10      9        355.06075000     6.2861000E+00             quant:   9;    8; info:   7398274.0442 MHz
   10     11     10        393.03858000     8.5716000E+00             quant:  10;    9; info:   8189604.5320 MHz
   11     12     11        430.56108000     1.1316000E+01             quant:  11;   10; info:   8971447.6267 MHz
   12     13     12        467.58759000     1.4548000E+01             quant:  12;   11; info:   9742955.8064 MHz
   13     14     13        504.07874000     1.8281000E+01             quant:  13;   12; info:  10503308.8364 MHz
   14     15     14        539.99656000     2.2527000E+01             quant:  14;   13; info:  11251715.5080 MHz
   15     16     15        575.30453000     2.7302000E+01             quant:  15;   14; info:  11987415.1836 MHz
   16     17     16        609.96769000     3.2606000E+01             quant:  16;   15; info:  12709679.1322 MHz
   17     18     17        643.95265000     3.8433000E+01             quant:  17;   16; info:  13417811.6393 MHz
   18     19     18        677.22765000     4.4771000E+01             quant:  18;   17; info:  14111150.8747 MHz
   19     20     19        709.76258000     5.1606000E+01             quant:  19;   18; info:  14789069.5023 MHz
#---end----------------------------------------------------------------------------------------------------
#Ref: CDMS
