#4711      # Number of transitions
#K         # Unit of energy for transitions
#   n     nu     nl                E(K)          Aij(s-1)             quant:     vu      Ju      vl      Jl  info:      Description  Lambda (micrometres)
#---data------------------------------------------------------------------------------------------------------------------------------------------
    1      3      1        509.86386545     2.9430000E-11             quant:      0;      2;      0;      0; info:  28.2188 micrometres;     0- 0 S( 0)
    2      4      2        844.60810392     4.7610000E-10             quant:      0;      3;      0;      1; info:  17.0348 micrometres;     0- 0 S( 1)
    3      5      3       1171.77485419     2.7550000E-09             quant:      0;      4;      0;      2; info:  12.2786 micrometres;     0- 0 S( 2)
    4      6      4       1488.66025741     9.8360000E-09             quant:      0;      5;      0;      3; info:   9.6649 micrometres;     0- 0 S( 3)
    5      7      5       1792.85921529     2.6430000E-08             quant:      0;      6;      0;      4; info:   8.0250 micrometres;     0- 0 S( 4)
    6      8      6       2082.31434597     5.8790000E-08             quant:      0;      7;      0;      5; info:   6.9095 micrometres;     0- 0 S( 5)
    7      9      7       2355.34393221     1.1420000E-07             quant:      0;      8;      0;      6; info:   6.1086 micrometres;     0- 0 S( 6)
    8     14      8       2610.64967356     2.0010000E-07             quant:      0;      9;      0;      7; info:   5.5112 micrometres;     0- 0 S( 7)
    9     17      9       2847.30672711     3.2360000E-07             quant:      0;     10;      0;      8; info:   5.0531 micrometres;     0- 0 S( 8)
   10     19     14       3064.73951018     4.9000000E-07             quant:      0;     11;      0;      9; info:   4.6946 micrometres;     0- 0 S( 9)
   11     24     17       3262.68724877     7.0290000E-07             quant:      0;     12;      0;     10; info:   4.4098 micrometres;     0- 0 S(10)
   12     29     19       3441.16314799     9.6330000E-07             quant:      0;     13;      0;     11; info:   4.1811 micrometres;     0- 0 S(11)
   13     33     24       3600.41062584     1.2690000E-06             quant:      0;     14;      0;     12; info:   3.9961 micrometres;     0- 0 S(12)
   14     41     29       3740.85942198     1.6170000E-06             quant:      0;     15;      0;     13; info:   3.8461 micrometres;     0- 0 S(13)
   15     47     33       3863.08364721     1.9990000E-06             quant:      0;     16;      0;     14; info:   3.7244 micrometres;     0- 0 S(14)
   16     53     41       3967.76316534     2.4070000E-06             quant:      0;     17;      0;     15; info:   3.6262 micrometres;     0- 0 S(15)
   17     63     47       4055.64907545     2.8310000E-06             quant:      0;     18;      0;     16; info:   3.5476 micrometres;     0- 0 S(16)
   18     69     53       4127.53358536     3.2590000E-06             quant:      0;     19;      0;     17; info:   3.4858 micrometres;     0- 0 S(17)
   19     81     63       4184.22419132     3.6800000E-06             quant:      0;     20;      0;     18; info:   3.4386 micrometres;     0- 0 S(18)
   20     90     69       4226.52180717     4.0810000E-06             quant:      0;     21;      0;     19; info:   3.4042 micrometres;     0- 0 S(19)
   21    103     81       4255.20229625     4.4510000E-06             quant:      0;     22;      0;     20; info:   3.3812 micrometres;     0- 0 S(20)
   22    113     90       4271.00075697     4.7790000E-06             quant:      0;     23;      0;     21; info:   3.3687 micrometres;     0- 0 S(21)
   23    130    103       4274.59776391     5.0560000E-06             quant:      0;     24;      0;     22; info:   3.3659 micrometres;     0- 0 S(22)
   24    130    129         43.45886275     6.3340000E-17             quant:      0;     24;      1;     22; info: 331.0664 micrometres;     0- 1 S(22)
   25    143    113       4266.60667772     5.2740000E-06             quant:      0;     25;      0;     23; info:   3.3722 micrometres;     0- 0 S(23)
   26    143    140        170.26954754     6.2230000E-14             quant:      0;     25;      1;     23; info:  84.5000 micrometres;     0- 1 S(23)
   27    159    130       4247.56097527     5.4240000E-06             quant:      0;     26;      0;     24; info:   3.3873 micrometres;     0- 0 S(24)
   28    159    158        289.76744166     9.4040000E-13             quant:      0;     26;      1;     24; info:  49.6528 micrometres;     0- 1 S(24)
   29    178    143       4217.90024176     5.5030000E-06             quant:      0;     27;      0;     25; info:   3.4111 micrometres;     0- 0 S(25)
