#90        # Number of transitions
#K         # Unit energy transitions
#   n     nu     nl                E(K)          Aij(s-1)             quant:     vu      Ju      Ku      ulu     vl      Jl      Kl      ull info:        E(cm-1)
#---data---------------------------------------------------------------------------------------------------------------------------------------------
    1      8      7         10.43870000     2.7800000E-09             quant:      0;      4;      4;     nd;      0;      3;      1;     nd; info:        7.2550 cm-1
    2     24     23         13.32500000     6.2200000E-08             quant:      0;      7;      6;     nd;      0;      6;      3;     nd; info:        9.2610 cm-1
    3     30     29         42.66860000     3.5900000E-06             quant:      0;      7;      4;     nd;      0;      8;      7;     nd; info:       29.6550 cm-1
    4     12     11         56.76630000     1.1000000E-06             quant:      0;      4;      2;     nd;      0;      5;      5;     nd; info:       39.4530 cm-1
    5     18     17         73.87980000     6.3800000E-06             quant:      0;      6;      5;     nd;      0;      5;      2;     nd; info:       51.3470 cm-1
    6     55     54         81.38480000     5.9400000E-05             quant:      0;      8;      1;     nd;      0;      8;      2;     nd; info:       56.5630 cm-1
    7     35     33         84.71860000     4.1900000E-05             quant:      0;      7;      1;     nd;      0;      7;      2;     nd; info:       58.8800 cm-1
    8     27     26         87.91420000     2.6800000E-05             quant:      0;      6;      1;     nd;      0;      6;      2;     nd; info:       61.1010 cm-1
    9     19     17         90.93000000     1.5300000E-05             quant:      0;      5;      1;     nd;      0;      5;      2;     nd; info:       63.1970 cm-1
   10     13     12         93.67820000     7.2700000E-06             quant:      0;      4;      1;     nd;      0;      4;      2;     nd; info:       65.1070 cm-1
   11      7      6         96.05370000     2.6400000E-06             quant:      0;      3;      1;     nd;      0;      3;      2;     nd; info:       66.7580 cm-1
   12      4      3         97.92990000     5.6600000E-07             quant:      0;      2;      1;     nd;      0;      2;      2;     nd; info:       68.0620 cm-1
   13     16     15        121.73400000     1.8100000E-05             quant:      0;      5;      3;     nd;      0;      6;      6;     nd; info:       84.6060 cm-1
   14     14     13        137.24030000     2.1600000E-05             quant:      0;      5;      4;     nd;      0;      4;      1;     nd; info:       95.3830 cm-1
   15     34     32        144.04460000     1.6500000E-04             quant:      0;      8;      6;     nd;      0;      7;      3;     nd; info:      100.1120 cm-1
   16      3      1        151.32650000     4.2600000E-07             quant:      0;      2;      2;     nd;      0;      1;      1;     nd; info:      105.1730 cm-1
   17     22     21        184.98520000     9.8500000E-05             quant:      0;      6;      4;     nd;      0;      7;      7;     nd; info:      128.5660 cm-1
   18     28     26        199.06270000     2.7000000E-04             quant:      0;      7;      5;     nd;      0;      6;      2;     nd; info:      138.3500 cm-1
   19     10      9        204.09430000     5.9700000E-05             quant:      0;      4;      3;     nd;      0;      3;      0;     nd; info:      141.8470 cm-1
   20     28     25        245.87810000     3.4000000E-04             quant:      0;      7;      5;     nd;      0;      8;      8;     nd; info:      170.8870 cm-1
   21     36     32        256.51250000     2.1300000E-03             quant:      0;      7;      0;     nd;      0;      7;      3;     nd; info:      178.2780 cm-1
   22     22     19        259.55850000     3.3600000E-04             quant:      0;      6;      4;     nd;      0;      5;      1;     nd; info:      180.3950 cm-1
   23      6      4        274.33100000     1.7600000E-05             quant:      0;      3;      2;     nd;      0;      2;      1;     nd; info:      190.6620 cm-1
   24     20     16        274.46630000     6.8000000E-04             quant:      0;      5;      0;     nd;      0;      5;      3;     nd; info:      190.7560 cm-1
   25     22     18        276.60200000     1.2835000E-09             quant:      0;      6;      4;     nd;      0;      6;      5;     nd; info:      192.2480 cm-1
   26     14     11        287.66000000     1.0457000E-10             quant:      0;      5;      4;     nd;      0;      5;      5;     nd; info:      199.9940 cm-1
   27      9      5        289.95970000     7.4000000E-05             quant:      0;      3;      0;     nd;      0;      3;      3;     nd; info:      201.5240 cm-1
   28     34     31        304.43720000     9.2200000E-04             quant:      0;      8;      6;     nd;      0;      9;      9;     nd; info:      211.5860 cm-1
   29     39     33        317.82560000     1.9800000E-03             quant:      0;      8;      5;     nd;      0;      7;      2;     nd; info:      220.8910 cm-1
   30     11      8        326.60700000     1.4774000E-10             quant:      0;      5;      5;     nd;      0;      4;      4;     nd; info:      227.003  cm-1
   31     30     27        376.32710000     1.9300000E-03             quant:      0;      7;      4;     nd;      0;      6;      1;     nd; info:      261.5500 cm-1
   32     12      7        393.81040000     1.8000000E-04             quant:      0;      4;      2;     nd;      0;      3;      1;     nd; info:      273.7010 cm-1
   33     55     45        411.96710000     6.3500000E-03             quant:      0;      8;      1;     nd;      0;      8;      4;     nd; info:      286.3200 cm-1
   34     35     30        429.38130000     4.0500000E-03             quant:      0;      7;      1;     nd;      0;      7;      4;     nd; info:      298.4230 cm-1
   35     23     20        440.41000000     3.1800000E-03             quant:      0;      6;      3;     nd;      0;      5;      0;     nd; info:      306.0880 cm-1
   36     18    14         445.30400000     2.2848000E-09             quant:      0;      6;      5;     nd;      0;      5;      4;     nd; info:      309.5020 cm-1
   37     27     22        446.32500000     2.2500000E-03             quant:      0;      6;      1;     nd;      0;      6;      4;     nd; info:      310.1990 cm-1
   38     19     14        462.36510000     1.0000000E-06             quant:      0;      5;      1;     nd;      0;      5;      4;     nd; info:      321.3470 cm-1
   39      7      3        468.31470000     3.5100000E-05             quant:      0;      3;      1;     nd;      0;      2;      2;     nd; info:      325.4820 cm-1
   40     13      8        477.04410000     2.8100000E-04             quant:      0;      4;      1;     nd;      0;      4;      4;     nd; info:      331.5490 cm-1
   41     45     35        486.69440000     7.0000000E-03             quant:      0;      8;      4;     nd;      0;      7;      1;     nd; info:      338.2560 cm-1
   42     17     13        508.67550000     9.7300000E-04             quant:      0;      5;      2;     nd;      0;      4;      1;     nd; info:      353.5330 cm-1
   43     13      6        583.53800000     3.2300000E-04             quant:      0;      4;      1;     nd;      0;      3;      2;     nd; info:      405.5630 cm-1
   44     54     39        584.16970000     1.3800000E-02             quant:      0;      8;      2;     nd;      0;      8;      5;     nd; info:      406.0020 cm-1
   45     33     28        609.84130000     8.0000000E-03             quant:      0;      7;      2;     nd;      0;      7;      5;     nd; info:      423.8440 cm-1
   46     26     19        617.96930000     3.6200000E-03             quant:      0;      6;      2;     nd;      0;      5;      1;     nd; info:      429.4930 cm-1
   47     26     18        635.01950000     3.7200000E-03             quant:      0;      6;      2;     nd;      0;      6;      5;     nd; info:      441.3430 cm-1
   48     50     36        655.09270000     3.1500000E-02             quant:      0;      8;      3;     nd;      0;      7;      0;     nd; info:      455.2940 cm-1
   49     17     11        659.12000000     1.0800000E-03             quant:      0;      5;      2;     nd;      0;      5;      5;     nd; info:      458.0930 cm-1
   50     19     12        693.28370000     1.5700000E-03             quant:      0;      5;      1;     nd;      0;      4;      2;     nd; info:      481.8370 cm-1
   51     33     27        720.98990000     1.0500000E-02             quant:      0;      7;      2;     nd;      0;      6;      1;     nd; info:      501.0930 cm-1
   52     50     34        767.56060000     2.0900000E-02             quant:      0;      8;      3;     nd;      0;      8;      6;     nd; info:      533.4600 cm-1
   53     27     17        796.81360000     5.3700000E-03             quant:      0;      6;      1;     nd;      0;      5;      2;     nd; info:      553.7910 cm-1
   54     32     24        799.27250000     9.9300000E-03             quant:      0;      7;      3;     nd;      0;      7;      6;     nd; info:      555.5000 cm-1
   55     54     35        817.27670000     2.5900000E-02             quant:      0;      8;      2;     nd;      0;      7;      1;     nd; info:      568.0130 cm-1
   56     23     15        836.61030000     3.0000000E-03             quant:      0;      6;      3;     nd;      0;      6;      6;     nd; info:      581.4500 cm-1
   57     20     10        881.32210000     3.0300000E-03             quant:      0;      5;      0;     nd;      0;      4;      3;     nd; info:      612.5250 cm-1
   58     35     26        893.62270000     1.4700000E-02             quant:      0;      7;      1;     nd;      0;      6;      2;     nd; info:      621.0740 cm-1
   59     45     29        958.74430000     2.1900000E-02             quant:      0;      8;      4;     nd;      0;      8;      7;     nd; info:      666.3340 cm-1
   60     55     33        983.38000000     3.4400000E-02             quant:      0;      8;      1;     nd;      0;      7;      2;     nd; info:      683.4560 cm-1
   61     30     21       1007.63730000     6.8000000E-03             quant:      0;      7;      4;     nd;      0;      7;      7;     nd; info:      700.3150 cm-1
   62     22     11       1009.56700000     3.2271000E-11             quant:      0;      6;      4;     nd;      0;      5;      5;     nd; info:      701.6840 cm-1
   63     36     23       1069.11010000     3.2500000E-02             quant:      0;      7;      0;     nd;      0;      6;      3;     nd; info:      743.0390 cm-1
   64     19      8       1076.65100000     7.5100000E-04             quant:      0;      5;      1;     nd;      0;      4;      4;     nd; info:      748.2800 cm-1
   65     27     14       1168.24870000     4.2200000E-03             quant:      0;      6;      1;     nd;      0;      5;      4;     nd; info:      811.9410 cm-1
   66     39     25       1173.54500000     1.3500000E-02             quant:      0;      8;      5;     nd;      0;      8;      8;     nd; info:      815.6220 cm-1
   67     35     22       1252.03340000     1.4100000E-02             quant:      0;      7;      1;     nd;      0;      6;      4;     nd; info:      870.1720 cm-1
   68     55     30       1328.04270000     3.5800000E-02             quant:      0;      8;      1;     nd;      0;      7;      4;     nd; info:      922.9990 cm-1
   69     26     11       1368.01930000     1.7500000E-03             quant:      0;      6;      2;     nd;      0;      5;      5;     nd; info:      950.7830 cm-1
   70     33     18       1443.92360000     9.0000000E-03             quant:      0;      7;      2;     nd;      0;      6;      5;     nd; info:     1003.5370 cm-1
   71     54     28       1511.83660000     2.5700000E-02             quant:      0;      8;      2;     nd;      0;      7;      5;     nd; info:     1050.7370 cm-1
   72     32     15       1649.20780000     3.3400000E-03             quant:      0;      7;      3;     nd;      0;      6;      6;     nd; info:     1146.2110 cm-1
   73     50     24       1710.87770000     1.6300000E-02             quant:      0;      8;      3;     nd;      0;      7;      6;     nd; info:     1189.0720 cm-1
   74     55     21       1923.71300000     5.6100000E-03             quant:      0;      8;      4;     nd;      0;      7;      7;     nd; info:     1336.9940 cm-1
   75     40      1       3535.49630000     1.1910000E+02             quant:      1;      0;      1;     nd;      0;      1;      1;     nd; info:     2457.2928 cm-1
