#29        # Number of transitions
#K         # Unit energy transitions
#   n     nu     nl                E(K)          Aij(s-1)             quant:     Ju      Jl     info:        E(GHz)
#---data---------------------------------------------------------------------------------------------------------------------------------------------
    1      2      1          4.14365975     2.2256000E-05             quant:      1;      0;    info:      86.3398600 GHz
    2      3      2          8.28722913     2.1360000E-04             quant:      2;      1;    info:     172.6778370 GHz
    3      4      3         12.43060654     7.7240000E-04             quant:      3;      2;    info:     259.0118140 GHz
    4      5      4         16.57369523     1.8984000E-03             quant:      4;      3;    info:     345.3397750 GHz
    5      6      5         20.71640252     3.7923000E-03             quant:      5;      4;    info:     431.6597890 GHz
    6      7      6         24.85863114     6.6521000E-03             quant:      6;      5;    info:     517.9698290 GHz
    7      8      7         29.00028548     1.0680000E-02             quant:      7;      6;    info:     604.2679030 GHz
    8      9      8         33.14127229     1.6074000E-02             quant:      8;      7;    info:     690.5520680 GHz
    9     10      9         37.28149727     2.3033000E-02             quant:      9;      8;    info:     776.8203590 GHz
   10     11     10         41.42085767     3.1755000E-02             quant:     10;      9;    info:     863.0706350 GHz
   11     12     11         45.55926417     4.2437000E-02             quant:     11;     10;    info:     949.3010350 GHz
   12     13     12         49.69662074     5.5278000E-02             quant:     12;     11;    info:    1035.5095580 GHz
   13     14     13         53.83282505     7.0485000E-02             quant:     13;     12;    info:    1121.6940720 GHz
   14     15     14         57.96779773     8.8233000E-02             quant:     14;     13;    info:    1207.8529228 GHz
   15     16     15         62.10142871     1.0874000E-01             quant:     15;     14;    info:    1293.9838171 GHz
   16     17     16         66.23362741     1.3219000E-01             quant:     16;     15;    info:    1380.0848675 GHz
   17     18     17         70.36429857     1.5877000E-01             quant:     17;     16;    info:    1466.1540891 GHz
   18     19     18         74.49334697     1.8869000E-01             quant:     18;     17;    info:    1552.1894980 GHz
   19     20     19         78.62067744     2.2218000E-01             quant:     19;     18;    info:    1638.1891111 GHz
   20     21     20         82.74619488     2.5933000E-01             quant:     20;     19;    info:    1724.1509467 GHz
   21     22     21         86.86980422     3.0042000E-01             quant:     21;     20;    info:    1810.0730238 GHz
   22     23     22         90.99141146     3.4562000E-01             quant:     22;     21;    info:    1895.9533840 GHz
   23     24     23         95.11091782     3.9509000E-01             quant:     23;     22;    info:    1981.7899690 GHz
   24     25     24         99.22823379     4.4907000E-01             quant:     24;     23;    info:    2067.5809138 GHz
   25     26     25        103.34326120     5.0762000E-01             quant:     25;     24;    info:    2153.3241726 GHz
   26     27     26        107.45590606     5.7107000E-01             quant:     26;     25;    info:    2239.0177871 GHz
   27     28     27        111.56607368     6.3967000E-01             quant:     27;     26;    info:    2324.6597843 GHz
   28     29     28        115.67366943     7.1341000E-01             quant:     28;     27;    info:    2410.2481926 GHz
   29     30     29        119.77859877     7.9257000E-01             quant:     29;     28;    info:    2495.7810418 GHz
#---end----------------------------------------------------------------------------------------------------------------------------------------------
# Ref : Private communication Viviana Guzman - January 2021
# Date: 3 Februray 2021
