#30        # Number of transitions
#K         # Unit energy transitions
#   n     nu     nl                E(K)          Aij(s-1)             quant:  Ju    Jl  info:  Description
#---data------------------------------------------------------------------------------------------------
    1      2      1          4.16354918     3.8534000E-05             quant:   1;    0; info:    86.7542884 GHz
    2      3      2          8.32700806     3.6987000E-04             quant:   2;    1; info:   173.5066953 GHz
    3      4      3         12.49028633     1.3374000E-03             quant:   3;    2; info:   260.2553390 GHz
    4      5      4         16.65329371     3.2879000E-03             quant:   4;    3; info:   346.9983381 GHz
    5      6      5         20.81593988     6.5667000E-03             quant:   5;    4; info:   433.7338110 GHz
    6      7      6         24.97813456     1.1520000E-02             quant:   6;    5; info:   520.4598762 GHz
    7      8      7         29.13978743     1.8492000E-02             quant:   7;    6; info:   607.1746520 GHz
    8      9      8         33.30080820     2.7831000E-02             quant:   8;    7; info:   693.8762570 GHz
    9     10      9         37.46110657     3.9885000E-02             quant:   9;    8; info:   780.5628096 GHz
   10     11     10         41.62059225     5.4985000E-02             quant:  10;    9; info:   867.2324283 GHz
   11     12     11         45.77917491     7.3483000E-02             quant:  11;   10; info:   953.8832314 GHz
   12     13     12         49.93676428     9.5725000E-02             quant:  12;   11; info:  1040.5133375 GHz
   13     14     13         54.09327004     1.2205000E-01             quant:  13;   12; info:  1127.1208650 GHz
   14     15     14         58.24860191     1.5282000E-01             quant:  14;   13; info:  1213.7039324 GHz
   15     16     15         62.40266956     1.8830000E-01             quant:  15;   14; info:  1300.2606580 GHz
   16     17     16         66.55538272     2.2894000E-01             quant:  16;   15; info:  1386.7891604 GHz
   17     18     17         70.70665108     2.7496000E-01             quant:  17;   16; info:  1473.2875580 GHz
   18     19     18         74.85638433     3.2678000E-01             quant:  18;   17; info:  1559.7539693 GHz
   19     20     19         79.00449218     3.8472000E-01             quant:  19;   18; info:  1646.1865126 GHz
   20     21     20         83.15088433     4.4914000E-01             quant:  20;   19; info:  1732.5833065 GHz
   21     22     21         87.29547047     5.2030000E-01             quant:  21;   20; info:  1818.9424694 GHz
   22     23     22         91.43816031     5.9864000E-01             quant:  22;   21; info:  1905.2621198 GHz
   23     24     23         95.57886355     6.8427000E-01             quant:  23;   22; info:  1991.5403760 GHz
   24     25     24         99.71748988     7.7774000E-01             quant:  24;   23; info:  2077.7753566 GHz
   25     26     25        103.85394901     8.7941000E-01             quant:  25;   24; info:  2163.9651800 GHz
   26     27     26        107.98815064     9.8946000E-01             quant:  26;   25; info:  2250.1079647 GHz
   27     28     27        112.12000446     1.1080000E+00             quant:  27;   26; info:  2336.2018290 GHz
   28     29     28        116.24942018     1.2358000E+00             quant:  28;   27; info:  2422.2448915 GHz
   29     30     29        120.37630749     1.3731000E+00             quant:  29;   28; info:  2508.2352706 GHz
   30     31     30        124.50057610     1.5199000E+00             quant:  30;   29; info:  2594.1710848 GHz
#---end------------------------------------------------------
# Ref:       Lamda database : https://home.strw.leidenuniv.nl/~moldata/datafiles/h13co+@xpol.dat
#            Data in Lamda database come from CDS
# Date:      Data dowloaded on the 3rd February 2021
# File Date: Produced on the 3rd February 2021
