#25        # Number of transitions
#K         # Unit energy of transitions
#   n     nu     nl                E(K)          Aij(s-1)             quant:   Ju    Jl    info:    E(GHz)
#---data------------------------------------------------------------------------------------------------------------------------
    1      2      1          4.35116526     2.6900000E-05             quant:   01;   00;   info:    90.6635680 GHz
    2      3      2          8.70221639     2.5820000E-04             quant:   02;   01;   info:   181.3247580 GHz
    3      4      3         13.05303687     9.3360000E-04             quant:   03;   02;   info:   271.9811420 GHz
    4      5      4         17.40351070     2.2950000E-03             quant:   04;   03;   info:   362.6303030 GHz
    5      6      5         21.75352658     4.5840000E-03             quant:   05;   04;   info:   453.2699220 GHz
    6      7      6         26.10296718     8.0410000E-03             quant:   06;   05;   info:   543.8975540 GHz
    7      8      7         30.45171861     1.2910000E-02             quant:   07;   06;   info:   634.5108260 GHz
    8      9      8         34.79966583     1.9430000E-02             quant:   08;   07;   info:   725.1073410 GHz
    9     10      9         39.14669256     2.7830000E-02             quant:   09;   08;   info:   815.6846760 GHz
   10     11     10         43.49268495     3.8370000E-02             quant:   10;   09;   info:   906.2404590 GHz
   11     12     11         47.83752965     5.1290000E-02             quant:   11;   10;   info:   996.7723280 GHz
   12     13     12         52.18111028     6.6800000E-02             quant:   12;   11;   info:  1087.2778580 GHz
   13     14     13         56.52331278     8.5160000E-02             quant:   13;   12;   info:  1177.7546725 GHz
   14     15     14         60.86402262     1.0660000E-01             quant:   14;   13;   info:  1268.2003849 GHz
   15     16     15         65.20312533     1.3140000E-01             quant:   15;   14;   info:  1358.6126103 GHz
   16     17     16         69.54050655     1.5970000E-01             quant:   16;   15;   info:  1448.9889656 GHz
   17     18     17         73.87605198     1.9180000E-01             quant:   17;   16;   info:  1539.3270693 GHz
   18     19     18         78.20964743     2.2800000E-01             quant:   18;   17;   info:  1629.6245419 GHz
   19     20     19         82.54117879     2.6840000E-01             quant:   19;   18;   info:  1719.8790059 GHz
   20     21     20         86.87053207     3.1330000E-01             quant:   20;   19;   info:  1810.0880861 GHz
   21     22     21         91.19759338     3.6290000E-01             quant:   21;   20;   info:  1900.2494093 GHz
   22     23     22         95.52224909     4.1740000E-01             quant:   22;   21;   info:  1990.3606080 GHz
   23     24     23         99.84438513     4.7710000E-01             quant:   23;   22;   info:  2080.4193052 GHz
   24     25     24        104.16388838     5.4220000E-01             quant:   24;   23;   info:  2170.4231441 GHz
   25     26     25        108.48064532     6.1300000E-01             quant:   25;   24;   info:  2260.3697593 GHz
#---end--------------------------------------------------------------------------------------------------------------------------
#Reference:       Lamda database (http://home.strw.leidenuniv.nl/~moldata/)
#Datafile data:   28th December 2016
