#57        # Number of transitions
#K         # Unit energy transitions
#   n     nu    nl                 E(K)          Aij(s-1)             quant:     Nu      Ju      Nl      Jl   info:        E(GHz)
#---data------------------------------------------------------------------------------------------------------------------------
    1     36     35          2.59780000     1.2270000E-09             quant:     23;     23;     23;     22;  info:        54.1300 GHz
    2     33     32          2.62380000     1.1510000E-09             quant:     21;     21;     21;     20;  info:        54.6712 GHz
    3     30     29          2.65020000     1.0850000E-09             quant:     19;     19;     19;     18;  info:        55.2214 GHz
    4     27     26          2.67720000     1.0280000E-09             quant:     17;     17;     17;     16;  info:        55.7838 GHz
    5      3      2          2.70030000     5.8740000E-10             quant:      1;      1;      1;      2;  info:        56.2648 GHz
    6     24     23          2.70500000     9.8080000E-10             quant:     15;     15;     15;     14;  info:        56.3634 GHz
    7     21     20          2.73400000     9.4250000E-10             quant:     13;     13;     13;     12;  info:        56.9682 GHz
    8     18     17          2.76500000     9.1390000E-10             quant:     11;     11;     11;     10;  info:        57.6125 GHz
    9     15     14          2.79910000     8.9560000E-10             quant:      9;      9;      9;      8;  info:        58.3239 GHz
   10      6      5          2.80500000     7.8300000E-10             quant:      3;      3;      3;      4;  info:        58.4466 GHz
   11     12     11          2.83940000     8.8900000E-10             quant:      7;      7;      7;      6;  info:        59.1642 GHz
   12      9      8          2.85990000     8.7170000E-10             quant:      5;      5;      5;      6;  info:        59.5910 GHz
   13      9      7          2.89420000     8.9790000E-10             quant:      5;      5;      5;      4;  info:        60.3061 GHz
   14     12     10          2.90040000     9.4970000E-10             quant:      7;      7;      7;      8;  info:        60.4348 GHz
   15     15     13          2.93480000     1.0330000E-09             quant:      9;      9;      9;     10;  info:        61.1506 GHz
   16     18     16          2.96590000     1.1290000E-09             quant:     11;     11;     11;     12;  info:        61.8002 GHz
   17     21     19          2.99530000     1.2400000E-09             quant:     13;     13;     13;     14;  info:        62.4112 GHz
   18      6      4          2.99890000     9.3250000E-10             quant:      3;      3;      3;      2;  info:        62.4863 GHz
   19     24     22          3.02340000     1.3700000E-09             quant:     15;     15;     15;     16;  info:        62.9980 GHz
   20     27     25          3.05080000     1.5220000E-09             quant:     17;     17;     17;     18;  info:        63.5685 GHz
   21     30     28          3.07760000     1.6990000E-09             quant:     19;     19;     19;     20;  info:        64.1278 GHz
   22     33     31          3.10410000     1.9060000E-09             quant:     21;     21;     21;     22;  info:        64.6789 GHz
   23     36     34          3.13030000     2.1460000E-09             quant:     23;     23;     23;     24;  info:        65.2241 GHz
   24      3      1          5.69910000     4.5040000E-09             quant:      1;      1;      1;      0;  info:       118.7503 GHz
   25      4      3         17.68510000     1.9390000E-09             quant:      3;      2;      1;      1;  info:       368.4982 GHz
   26      4      2         20.38540000     2.4410000E-08             quant:      3;      2;      1;      2;  info:       424.7630 GHz
   27      6      2         23.38420000     8.6570000E-09             quant:      3;      3;      1;      2;  info:       487.2493 GHz
   28      7      6         34.33340000     6.5990000E-09             quant:      5;      4;      3;      3;  info:       715.3930 GHz
   29      7      5         37.13840000     4.5340000E-08             quant:      5;      4;      3;      4;  info:       773.8395 GHz
   30      9      5         40.03260000     1.4040000E-08             quant:      5;      5;      3;      4;  info:       834.1456 GHz
   31     11      9         50.92590000     1.1740000E-08             quant:      7;      6;      5;      5;  info:      1061.1238 GHz
   32     11      8         53.78580000     6.7690000E-08             quant:      7;      6;      5;      6;  info:      1120.7148 GHz
   33     12      8         56.62520000     1.9870000E-08             quant:      7;      7;      5;      6;  info:      1179.8790 GHz
   34     14     12         67.49510000     1.7380000E-08             quant:      9;      8;      7;      7;  info:      1406.3721 GHz
   35     14     10         70.39560000     9.2250000E-08             quant:      9;      8;      7;      8;  info:      1466.8071 GHz
   36     15     10         73.19460000     2.6350000E-08             quant:      9;      9;      7;      8;  info:      1525.1306 GHz
   37     17     15         84.04690000     2.3670000E-08             quant:     11;     10;      9;      9;  info:      1751.2546 GHz
   38     17     13         86.98160000     1.1990000E-07             quant:     11;     10;      9;     10;  info:      1812.4053 GHz
   39     18     13         89.74660000     3.3690000E-08             quant:     11;     11;      9;     10;  info:      1870.0177 GHz
   40     20     18        100.58130000     3.0810000E-08             quant:     13;     12;     11;     11;  info:      2095.7776 GHz
   41     20     16        103.54730000     1.5140000E-07             quant:     13;     12;     11;     12;  info:      2157.5778 GHz
   42     21     16        106.28130000     4.2120000E-08             quant:     13;     13;     11;     12;  info:      2214.5459 GHz
   43     23     21        117.09720000     3.9010000E-08             quant:     15;     14;     13;     13;  info:      2439.9128 GHz
   44     23     19        120.09250000     1.8780000E-07             quant:     15;     14;     13;     14;  info:      2502.3240 GHz
   45     24     19        122.79750000     5.1900000E-08             quant:     15;     15;     13;     14;  info:      2558.6874 GHz
   46     26     24        133.59250000     4.8530000E-08             quant:     17;     16;     15;     15;  info:      2783.6189 GHz
   47     26     22        136.61590000     2.3010000E-07             quant:     17;     16;     15;     16;  info:      2846.6169 GHz
   48     27     22        139.29310000     6.3310000E-08             quant:     17;     17;     15;     16;  info:      2902.4007 GHz
   49     29     27        150.06490000     5.9630000E-08             quant:     19;     18;     17;     17;  info:      3126.8483 GHz
   50     29     25        153.11570000     2.7970000E-07             quant:     19;     18;     17;     18;  info:      3190.4169 GHz
   51     30     25        155.76590000     7.6680000E-08             quant:     19;     19;     17;     18;  info:      3245.6383 GHz
   52     32     30        166.51200000     7.2650000E-08             quant:     21;     20;     19;     19;  info:      3469.5504 GHz
   53     32     28        169.58960000     3.3780000E-07             quant:     21;     20;     19;     20;  info:      3533.6781 GHz
   54     33     28        172.21340000     9.2370000E-08             quant:     21;     21;     19;     20;  info:      3588.3493 GHz
   55     35     33        182.93120000     8.7920000E-08             quant:     23;     22;     21;     21;  info:      3811.6725 GHz
   56     35     31        186.03530000     4.0590000E-07             quant:     23;     22;     21;     22;  info:      3876.3514 GHz
   57     36     31        188.63310000     1.1080000E-07             quant:     23;     23;     21;     22;  info:      3930.4814 GHz
#---end--------------------------------------------------------------------------------------------------------------------------
#Ref : Drouin et al. 2010
