#49        # Number of transitions
#K         # Unit energy transitions
#   n     nu     nl                E(K)          Aij(s-1)             quant:     Ju      pu      Fu      Jl       pl     Fl  info:     Description
#---data----------------------------------------------------------------------------------------------------------------------------------------------
    1      3      1        120.45858000     1.3800000E-01             quant:    5/2;      +;     F2;    3/2;      -;     F2; info:     2509.95240 GHz
    2      4      2        120.66779000     1.3900000E-01             quant:    5/2;      -;     F2;    3/2;      +;     F2; info:     2514.31168 GHz
    3      9      3        170.07474000     5.2000000E-01             quant:    7/2;      -;     F2;    5/2;      +;     F2; info:     3543.78669 GHz
    4     10      4        170.43012000     5.2400000E-01             quant:    7/2;      +;     F2;    5/2;      -;     F2; info:     3551.19156 GHz
    5     13      9        220.40454000     1.2700000E+00             quant:    9/2;      +;     F2;    7/2;      -;     F2; info:     4592.49068 GHz
    6     14     10        220.90235000     1.2800000E+00             quant:    9/2;      -;     F2;    7/2;      +;     F2; info:     4602.86350 GHz
    7     17     13        271.17316000     2.5000000E+00             quant:   11/2;      -;     F2;    9/2;      +;     F2; info:     5650.33835 GHz
    8     18     14        271.80622000     2.5200000E+00             quant:   11/2;      +;     F2;    9/2;      -;     F2; info:     5663.52922 GHz
    9      7      5         88.05448000     6.4500000E-02             quant:    3/2;      -;     F1;    1/2;      +;     F1; info:     1834.75982 GHz
   10      8      6         88.26023000     6.4800000E-02             quant:    3/2;      +;     F1;    1/2;      -;     F1; info:     1839.04685 GHz
   11     11      7        145.71772000     3.5300000E-01             quant:    5/2;      +;     F1;    3/2;      -;     F1; info:     3036.26804 GHz
   12     12      8        145.67743000     3.5300000E-01             quant:    5/2;      -;     F1;    3/2;      +;     F1; info:     3035.42862 GHz
   13     15     11        202.15799000     1.0100000E+00             quant:    7/2;      -;     F1;    5/2;      +;     F1; info:     4212.29389 GHz
   14     16     12        202.03138000     1.0100000E+00             quant:    7/2;      +;     F1;    5/2;      -;     F1; info:     4209.65572 GHz
   15     20     15        257.42566000     2.1800000E+00             quant:    9/2;      +;     F1;    7/2;      -;     F1; info:     5363.88666 GHz
   16     19     16        257.15373000     2.1800000E+00             quant:    9/2;      -;     F1;    7/2;      +;     F1; info:     5358.22058 GHz
   17      5      1        181.71156000     3.6000000E-02             quant:    1/2;      +;     F1;    3/2;      -;     F2; info:     3786.25883 GHz
   18      6      2        181.85746000     3.6100000E-02             quant:    1/2;      -;     F1;    3/2;      +;     F2; info:     3789.29902 GHz
   19      7      3        149.30746000     9.2500000E-03             quant:    3/2;      -;     F1;    5/2;      +;     F2; info:     3111.06625 GHz
