# This is "meudon" CH+ levels data as updated by Godard & Cernicharo 2013. Provied to me by Marion Zannese
#@1@CH+@K@J
#150          # Number of levels
#K            # Energy Unit
#2            # Number of quantum number
#v            # Quantum number (highest:   4 ) vibration
#J            # Quantum number (highest:  30 ) rotation
# n      g       E(K)                         V    J    P
#---data read without format ----------------+- READ WITH FORMAT ----------
  1    1.0      0.000000000                   0    0    1
  2    3.0     40.078465926                   0    1    1
  3    5.0    120.187919508                   0    2    1
  4    7.0    240.233518126                   0    3    1
  5    9.0    400.073282628                   0    4    1
  6   11.0    599.518439089                   0    5    1
  7   13.0    838.333874457                   0    6    1
  8   15.0   1116.238706143                   0    7    1
  9   17.0   1432.906965491                   0    8    1
 10   19.0   1787.968395201                   0    9    1
 11   21.0   2181.009360634                   0   10    1
 12   23.0   2611.573875054                   0   11    1
 13   25.0   3079.164738771                   0   12    1
 14   27.0   3583.244792213                   0   13    1
 15    1.0   3941.755863032                   1    0    1
 16    3.0   3980.425176188                   1    1    1
 17    5.0   4057.717237005                   1    2    1
 18   29.0   4123.238282893                   0   14    1
 19    7.0   4173.539006864                   1    3    1
 20    9.0   4327.751158788                   1    4    1
 21   11.0   4520.168354569                   1    5    1
 22   31.0   4698.532346314                   0   15    1
 23   13.0   4750.559614285                   1    6    1
 24   15.0   5018.648778188                   1    7    1
 25   33.0   5308.478600770                   0   16    1
 26   17.0   5324.115060970                   1    8    1
 27   19.0   5666.593698419                   1    9    1
 28   35.0   5952.394856069                   0   17    1
 29   21.0   6045.676686433                   1   10    1
 30   23.0   6460.913612431                   1   11    1
 31   37.0   6629.566936175                   0   18    1
 32   25.0   6911.812579128                   1   12    1
 33   39.0   7339.250615760                   0   19    1
 34   27.0   7397.841220700                   1   13    1
 35    1.0   7715.739191680                   2    0    1
 36    3.0   7753.013684587                   2    1    1
 37    5.0   7827.517017678                   2    2    1
 38   29.0   7918.427811318                   1   14    1
 39    7.0   7939.157956345                   2    3    1
 40   41.0   8080.673670669                   0   20    1
 41    9.0   8087.799825775                   2    4    1
 42   11.0   8273.260723484                   2    5    1
 43   31.0   8472.962466064                   1   15    1
 44   13.0   8495.313802674                   2    6    1
 45   15.0   8753.687626442                   2    7    1
 46   43.0   8853.038042305                   0   21    1
 47   17.0   9048.066592828                   2    8    1
 48   33.0   9060.798434224                   1   16    1
 49   19.0   9378.091430707                   2    9    1
 50   45.0   9655.522115925                   0   22    1
 51   35.0   9681.253484962                   1   17    1
 52   21.0   9743.359766512                   2   10    1
 53   23.0  10143.426761821                   2   11    1
 54   37.0  10333.611385364                   1   18    1
 55   47.0  10487.283112857                   0   23    1
 56   25.0  10577.805821751                   2   12    1
 57   39.0  11017.123470876                   1   19    1
 58   27.0  11045.969374229                   2   13    1
 59    1.0  11323.895269890                   3    0    1
 60   49.0  11347.459596620                   0   24    1
 61    3.0  11359.789275072                   3    1    1
 62    5.0  11431.532545481                   3    2    1
 63    7.0  11539.035650515                   3    3    1
 64   29.0  11547.349720081                   2   14    1
 65    9.0  11682.164567537                   3    4    1
 66   41.0  11731.010308097                   1   20    1
 67   11.0  11860.740829779                   3    5    1
 68   13.0  12074.541723570                   3    6    1
 69   31.0  12081.339953968                   2   15    1
 70   51.0  12235.174092969                   0   25    1
 71   15.0  12323.300534852                   3    7    1
 72   43.0  12474.463449978                   1   21    1
 73   17.0  12606.706845011                   3    8    1
 74   33.0  12647.294956172                   2   16    1
 75   19.0  12924.406876008                   3    9    1
 76   53.0  13149.535823858                   0   26    1
 77   35.0  13244.532455207                   2   17    1
 78   45.0  13246.647283372                   1   22    1
 79   21.0  13276.003884819                   3   10    1
 80   23.0  13661.058607171                   3   11    1
 81   37.0  13872.334161286                   2   18    1
 82   47.0  14046.700968977                   1   23    1
 83   25.0  14079.089750589                   3   12    1
 84   55.0  14089.643555302                   0   27    1
 85   27.0  14529.574536748                   3   13    1
 86   39.0  14529.946970627                   2   19    1
 87    1.0  14768.169381614                   4    0    1
 88    3.0  14802.697231587                   4    1    1
 89    5.0  14871.709104356                   4    2    1
 90   49.0  14873.740473658                   1   24    1
 91    7.0  14975.117373324                   4    3    1
 92   29.0  15011.949293130                   3   14    1
 93   57.0  15054.588559171                   0   28    1
 94    9.0  15112.790668022                   4    4    1
 95   41.0  15216.584240586                   2   20    1
 96   11.0  15284.553957404                   4    5    1
 97   13.0  15490.188660922                   4    6    1
 98   31.0  15525.610093977                   3   15    1
 99   51.0  15726.860695145                   1   25    1
100   15.0  15729.432787364                   4    7    1
101   43.0  15931.427135657                   2   21    1
102   17.0  16001.981101466                   4    8    1
103   59.0  16043.457688889                   0   29    1
104   33.0  16069.913450562                   3   16    1
105   19.0  16307.485318275                   4    9    1
106   53.0  16605.137679097                   1   26    1
107   35.0  16644.177050754                   3   17    1
108   21.0  16645.554325301                   4   10    1
109   45.0  16673.626044288                   2   22    1
110   23.0  17015.754432428                   4   11    1
111   37.0  17247.680547890                   3   18    1
112   25.0  17417.609649587                   4   12    1
113   47.0  17442.302066552                   2   23    1
114   55.0  17507.630928569                   1   27    1
115   27.0  17850.601992203                   4   13    1
116   39.0  17879.666398961                   3   19    1
117   49.0  18236.548572662                   2   24    1
118   29.0  18314.171814411                   4   14    1
119   57.0  18433.385805832                   1   28    1
120   41.0  18539.340752081                   3   20    1
121   31.0  18807.718170035                   4   15    1
122   51.0  19055.432832313                   2   25    1
123   43.0  19225.874383287                   3   21    1
124   33.0  19330.599201340                   4   16    1
125   59.0  19381.436026590                   1   29    1
126   35.0  19882.132555549                   4   17    1
127   53.0  19897.997714879                   2   26    1
128   45.0  19938.403682621                   3   22    1
129   37.0  20461.595829126                   4   18    1
130   47.0  20676.031689532                   3   23    1
131   55.0  20763.263460450                   2   27    1
132   39.0  21068.227039828                   4   19    1
133   49.0  21437.829177577                   3   24    1
134   57.0  21650.229521702                   2   28    1
135   41.0  21701.225126533                   4   20    1
136   51.0  22222.835788420                   3   25    1
137   43.0  22359.750476817                   4   21    1
138   59.0  22557.876476612                   2   29    1
139   53.0  23030.061215152                   3   26    1
140   45.0  23042.925482319                   4   22    1
141   47.0  23749.835121864                   4   23    1
142   55.0  23858.486434894                   3   27    1
143   49.0  24479.527572351                   4   24    1
144   57.0  24707.064990726                   3   28    1
145   51.0  25231.014847418                   4   25    1
146   59.0  25574.724322905                   3   29    1
147   53.0  26003.273463864                   4   26    1
148   55.0  26795.245135848                   4   27    1
149   57.0  27605.837496852                   4   28    1
150   59.0  28433.924849413                   4   29    1
#---data read without format ----------------+- READ WITH FORMAT ----------
# Ref : Godard et al. (2013)
