|        ID|    Wave|  vu|  Ju| Fs140|e_Fs140|Fngc2023|e_Fngc2023| Fic63|e_Fic63|Fhorse|e_Fhorse|Forionbar|e_Forionbar|Transition|    Line|
|      char|  double|long|long|double| double|  double|    double|double| double|double|  double|   double|     double|      char|    char|
|          |        |    |    |      |       |        |          |      |       |      |        |         |           |          |        |
|      null|    null|null|null|  null|   null|    null|      null|  null|   null|  null|    null|     null|       null|      null|    null|
   1-0 Q(1) 2.406592    1    1  4.357   0.446     7.91      0.853  5.229    0.63  5.288    0.475    23.334       2.065   1-0 Q(1)   H210Q1 
   1-0 Q(2) 2.413439    1    2  2.412   0.248     2.64      0.285  2.276   0.275  3.131    0.283     5.539       0.492   1-0 Q(2)   H210Q2 
   1-0 S(0)  2.22329    1    2  2.169    0.21    2.371      0.243  2.111   0.246  3.061    0.254     5.208       0.425   1-0 S(0)   H210S0 
   1-0 S(1) 2.121834    1    3   3.74   0.348    5.402      0.536  4.336   0.494  4.082    0.322    15.214       1.177   1-0 S(1)   H210S1 
   1-0 Q(3)  2.42373    1    3  2.387   0.246    3.414       0.37  2.825   0.341   2.89    0.262     10.16       0.905   1-0 Q(3)   H210Q3 
   1-0 Q(4) 2.437489    1    4  1.114   0.115    1.211      0.132  1.092   0.132  1.371    0.126     2.506       0.225   1-0 Q(4)   H210Q4 
   1-0 S(2) 2.033758    1    4  1.922   0.172    2.135      0.205   null    null  2.363    0.177     4.225        0.31   1-0 S(2)   H210S2 
   1-0 S(3) 1.957559    1    5  2.438    0.21    4.124      0.383  3.285   0.358  2.632    0.189     8.835       0.617   1-0 S(3)   H210S3 
   1-0 Q(6) 2.475559    1    6  0.396   0.042    0.466      0.052  0.475    0.06  0.573    0.074      null        null   1-0 Q(6)   H210Q6 
   1-0 S(6)  1.78805    1    8   null    null     null       null   null    null   null     null     0.869       0.053   1-0 S(6)   H210S6 
   1-0 S(7) 1.747955    1    9  0.367   0.028    0.779      0.065  0.634   0.065   0.31    0.028     2.012       0.118   1-0 S(7)   H210S7 
   1-0 S(8) 1.714738    1   10  0.094   0.009    0.174      0.015  0.152   0.018   null     null     0.393       0.023   1-0 S(8)   H210S8 
   1-0 S(9) 1.687761    1   11  0.122   0.009    0.267      0.021  0.229   0.023  0.167    0.014     0.649       0.036   1-0 S(9)   H210S9 
  1-0 S(10) 1.666475    1   12  0.027   0.003    0.057      0.005  0.043   0.006   null     null     0.094       0.006  1-0 S(10)  H210S10 
  1-0 S(11) 1.650413    1   13   null    null    0.046      0.004   0.05   0.006   null     null     0.083       0.005  1-0 S(11)  H210S11 
  1-0 S(17) 1.645885    1   19   null    null     null       null   null    null   null     null     0.069       0.004  1-0 S(17)  H210S17 
   2-1 S(0) 2.355605    2    2  0.911   0.092     0.78      0.083  0.818   0.098  1.184    0.107     0.955       0.083   2-1 S(0)   H221S0 
   2-1 S(1) 2.247716    2    3  1.551   0.151    1.742       0.18  1.485   0.174  1.427     0.12     2.819       0.233   2-1 S(1)   H221S1 
   2-0 O(6) 1.486989    2    4   0.13   0.009     null       null  0.077    0.01   null     null      null        null   2-0 O(6)   H220O6 
   2-1 S(2) 2.154216    2    4  0.854    0.08    0.807      0.081  0.748   0.086  0.946    0.077     0.953       0.075   2-1 S(2)   H221S2 
   2-0 O(7) 1.546377    2    5  0.063   0.005    0.091      0.007  0.088    0.01   null     null     0.157       0.008   2-0 O(7)   H220O7 
   2-1 S(3) 2.073482    2    5  1.066   0.097     1.44       0.14   null    null  0.912    0.071     2.483       0.187   2-1 S(3)   H221S3 
   2-1 S(4) 2.004109    2    6   null    null    0.459      0.044   null    null   null     null      null        null   2-1 S(4)   H221S4 
   2-0 O(9) 1.679641    2    7   null    null    0.018      0.002  0.028   0.005   null     null     0.033       0.003   2-0 O(9)   H220O9 
  2-1 S(10) 1.768836    2   12   null    null    0.016      0.002   null    null   null     null      null        null  2-1 S(10)  H221S10 
   3-1 O(4) 1.467714    3    2  0.586   0.035     null       null  0.622   0.056   null     null      null        null   3-1 O(4)   H231O4 
   3-1 O(5) 1.522033    3    3  0.392   0.025    0.455      0.032   0.44    0.04  0.406    0.024     0.589       0.027   3-1 O(5)   H231O5 
   3-2 S(1) 2.386471    3    3  0.795   0.082    0.714      0.077  0.775   0.094  0.731    0.071     0.946       0.083   3-2 S(1)   H232S1 
